id,story,query,target,parse,gender,f_comb,ans
10,[Edward] has a sibling who is much younger than he is. They get along well and his name is [Eric]. [Eric] was so proud that his son [Michael] won the science fair! [Eric] who is [Carl]'s father grounded [Carl] after finding out what [Carl] had done at school. [Carl] and his brother [Michael] played at jacks.,"('Edward', 'Michael')",nephew,"brother(""Edward"", ""Eric""). brother(""Eric"", ""Edward""). son(""Eric"", ""Michael""). father(""Michael"", ""Eric""), son(""Eric"", ""Carl""). father(""Carl"", ""Eric""). brother(""Carl"", ""Michael""). brother(""Michael"", ""Carl"").",,brother-son,['nephew']
11,"[Eric], [Kyle]'s son, was the number one pitcher on the team, just like [Eric]'s son, [Arthur] is now. [Robin] and her husband [Eric] just celebrated 10 years of marriage. [Robin] was so excited to learn that her son [Arthur] got accepted into college.","('Kyle', 'Arthur')",grandson,"son(""Kyle"", ""Eric""). father(""Eric"", ""Kyle""). son(""Eric"", ""Arthur""). father(""Arthur"", ""Eric""). husband(""Robin"", ""Eric""). wife(""Eric"", ""Robin""). son(""Robin"", ""Arthur""). mother(""Arthur"", ""Robin"").","2 11 male(""Eric""). male(""Kyle""). female(""Robin""). male(""Arthur"").",son-son,['grandson']
12,"[Kristen]'s daughter, [Dorothy], asked her mom to read her a story. [Edward] took his daughter, [Dorothy], and her grandmother, [Karen], to the opening screening of a movie. [Kristen] and [Edward] were talking about where they went on their honeymoon. [Kristen] told [Edward] she wants to go back to the same resort one day.","('Edward', 'Karen')",mother,"daughter(""Kristen"", ""Dorothy""). mother(""Dorothy"", ""Kristen""). husband(""Kristen"", ""Edward""). wife(""Edward"", ""Kristen""). daughter(""Edward"", ""Dorothy""). father(""Dorothy"", ""Edward""). grandmother(""Dorothy"", ""Karen""). granddaughter(""Karen"", ""Dorothy"").",,daughter-grandmother,"['mother', 'mother-in-law']"
13,"[Vernon] was present in the delivery room when his daughter [Raquel] was born, but when his daughter [Constance] was born he was too sick. [Vernon] and his daughter [Margaret] went to the movies. [Constance], [Margaret]'s sister, had to stay home as she was sick.","('Constance', 'Raquel')",sister,"father(""Raquel"", ""Vernon""). father(""Constance"", ""Vernon""). father(""Margaret"", ""Vernon""). daughter(""Vernon"", ""Raquel""). daughter(""Vernon"", ""Constance""). daughter(""Vernon"", ""Margaret""). sister(""Constance"", ""Margaret""). sister(""Margaret"", ""Constance"").",,father-daughter,['sister']
14,"[Carl] asked his mother [Robin] to read to him. [Robin] was too busy. [Eric] who is [Carl]'s father grounded [Carl] after finding out what [Carl] had done at school. [Henry] was thrilled to take his nephew, [Carl], out to play for the day. [Robin] was mad at her brother [Henry], because [Henry] had called her fat.","('Eric', 'Henry')",brother,"mother(""Carl"", ""Robin""). son(""Robin"", ""Carl""). father(""Carl"", ""Eric""). son(""Eric"", ""Carl""). nephew(""Henry"", ""Carl""). uncle(""Carl"", ""Henry""). sister(""Henry"", ""Robin""). brother(""Robin"", ""Henry"").",,son-uncle,['brother']
15,"[Theresa] loved to play dress-up with her daughter [Verdie]. [Ronald] was busy planning a 90th birthday party for his aunt, [Theresa]. [Theresa] and her sister [Kristen] were getting together this weekend so that they could go hiking together they had n't spent time together alone in a while. [Kristen] baked a cake for her son [Ronald].","('Kristen', 'Verdie')",niece,"daughter(""Theresa"", ""Verdie""). mother(""Verdie"", ""Theresa""). aunt(""Ronald"", ""Theresa""). nephew(""Theresa"", ""Ronald""). sister(""Theresa"", ""Kristen""). sister(""Kristen"", ""Theresa""). son(""Kristen"", ""Ronald""). mother(""Ronald"", ""Kristen"").",,sister-daughter,['niece']
16,"[Darnell] is estranged from his mother, [Theresa]. His sister [Amanda] has tried to convince him to forgive [Theresa], but [Darnell] refuses. [Henry] took his son, [Darnell] to the movies with [Amanda], who's father is [Henry].","('Amanda', 'Theresa')",mother,"mother(""Darnell"", ""Theresa""). son(""Theresa"", ""Darnell""). sister(""Darnell"", ""Amanda""). brother(""Amanda"", ""Darnell""). father(""Darnell"", ""Henry""). son(""Henry"", ""Darnell""). father(""Amanda"", ""Henry""). daughter(""Henry"", ""Amanda"").",,brother-mother,['mother']
17,[Henry] is happy that his daughter is doing so well. Her name is [Verdie]. [Verdie] and her brother [Darnell] went to the basketball game and had a great time. [Darnell] took his wife [Christine] out to dinner. [Darnell] asked his father [Henry] to watch the kids.,"('Christine', 'Henry')",father-in-law,"daughter(""Henry"", ""Verdie""). father(""Verdie"", ""Henry""). brother(""Verdie"", ""Darnell""). sister(""Darnell"", ""Verdie""). wife(""Darnell"", ""Christine""). husband(""Christine"", ""Darnell""). father(""Darnell"", ""Henry"").",,husband-father,['father-in-law']
18,"[Casey] often goes out for lunch with his sister, [Margaret]. [Vernon] took his son [Casey] for boxing lessons. He felt the boy needed to toughen up. [Eric] and his brother [Vernon] were playing tag in the park. [Vernon] was so proud of his daughter, [Margaret], graduating at the top of her class.","('Eric', 'Margaret')",niece,"sister(""Casey"", ""Margaret""). brother(""Casey"", ""Margaret""). son(""Vernon"", ""Casey""). father(""Casey"", ""Vernon""). brother(""Eric"", ""Vernon""). brother(""Vernon"", ""Eric""). daughter(""Vernon"", ""Margaret""). father(""Margaret"", ""Vernon"").",,brother-daughter,"['nephew', 'niece']"
19,"[Allen]'s father, [Eric], bought him some ice cream. [Carl] and his brother [Allen] both played soccer. [Carl] was faster, but [Allen] had a better shot, so they complemented each other well. [Eric] and his son [Carl] went to the park and saw [Eric]'s father [Kyle] there with his dog.","('Carl', 'Kyle')",grandfather,"father(""Allen"", ""Eric""). son(""Eric"", ""Allen""). brother(""Carl"", ""Allen""). brother(""Allen"", ""Carl""). son(""Eric"", ""Carl""). father(""Carl"", ""Eric""). grandfather(""Carl"", ""Kyle""). grandson(""Kyle"", ""Carl"").",,father-father,['grandfather']
20,"[Shirley] took her daughter [Margaret] to see her very first ballet performance. [Margaret] is one of my favorite students. She is the younger sister of [Casey], who I taught last year, [Casey] came to visit his wife [Stacy] for lunch today. [Casey] went to [Shirley]'s house for dinner.","('Stacy', 'Shirley')",mother-in-law,"daughter(""Shirley"", ""Margaret""). mother(""Margaret"", ""Shirley""). brother(""Margaret"", ""Casey""). sister(""Casey"", ""Margaret""). wife(""Casey"", ""Stacy""). husband(""Stacy"", ""Casey"").",,husband-mother,['mother-in-law']
21,"[Kristen] asked her sister [Theresa] to hurry up and get off the phone. [Kristen]'s sister [Robin] told her to wait her turn and be more patient. [Theresa] went shopping with her daughter, [Michelle]. [Theresa] also invited her sister, [Robin], along.","('Michelle', 'Robin')",aunt,"sister(""Kristen"", ""Theresa""). sister(""Theresa"", ""Kristen""). sister(""Kristen"", ""Robin""). sister(""Robin"", ""Kristen""). daughter(""Theresa"", ""Michelle""). mother(""Michelle"", ""Theresa""). sister(""Theresa"", ""Robin""). sister(""Robin"", ""Theresa"").",,mother-sister,['aunt']
22,"[Vernon] and his wife, [Shirley], were out Christmas shopping when [Shirley] found the perfect teddy bear for her daughter, [Margaret]. [Vernon] and his daughter [Margaret] went to see [Vernon]'s father [Kyle] to see how he was feeling because he had been sick with the flu.","('Kyle', 'Margaret')",granddaughter,"wife(""Vernon"", ""Shirley""). daughter(""Shirley"", ""Margaret""). father(""Margaret"", ""Vernon""). mother(""Margaret"", ""Shirley""). father(""Vernon"", ""Kyle""). son(""Kyle"", ""Vernon"").","3 22 male(""Vernon""). female(""Shirley""). female(""Margaret""). male(""Kyle"").",son-daughter,['granddaughter']
23,[Dorothy] could n't wait for the surprise birthday party that she was throwing for her brother [Ronald] next weekend. [Patty] and her brother [Dorothy] were playing outside when her father [Edward] came out to say they should come in before it rains. [Dorothy] went out for pizza with her father [Edward].,"('Ronald', 'Edward')",father,"brother(""Dorothy"", ""Ronald""), sister(""Ronald"", ""Dorothy""). brother(""Patty"", ""Dorothy""). sister(""Dorothy"", ""Patty""). father(""Patty"", ""Edward""). father(""Dorothy"", ""Edward""), daughter(""Edward"", ""Dorothy""), daughter(""Edward"", ""Patty"").",,sister-father,['father']
24,"[Casey] was having an argument with her sister, [Constance]. [Vernon] is the loving father of his wonderful child [Constance]. [Constance] loves [Vernon]. [Vernon]'s mother [Karen] made an apple pie for [Vernon]'s son [Casey].","('Casey', 'Karen')",grandmother,"sister(""Casey"", ""Constance""). sister(""Constance"", ""Casey""). father(""Constance"", ""Vernon""). daughter(""Vernon"", ""Constance""). son(""Vernon"", ""Casey""). father(""Casey"", ""Vernon""). mother(""Vernon"", ""Karen""). son(""Karen"", ""Vernon""). grandson(""Karen"", ""Casey"").",,father-mother,['grandmother']
25,"[Carl] went to his grandmother [Karen]'s house for the summer. He had a wonderful time there. [Allen] looked up to his older brother named [Carl]. [Carl] was very strong and quite brave and that's the reason [Allen] admires him. [Carl]'s father [Eric] is going to coach the team this year. [Eric]'s son, [Allen], had been misbehaving, so [Eric] had to spank him.","('Eric', 'Karen')",mother,"grandmother(""Carl"", ""Karen""). grandson(""Karen"", ""Carl""). brother(""Allen"", ""Carl""). brother(""Carl"", ""Allen""). father(""Carl"", ""Eric""). son(""Eric"", ""Carl""). father(""Allen"", ""Eric""). son(""Eric"", ""Allen"").",,son-grandmother,['mother']
26,"[Theresa] likes taking her son [Darnell] to school. [Kyle] and his grandson [Darnell] love to go to the ball park. [Theresa]'s father, [Kyle], took her to the bowling alley. [Theresa]'s daughter, [Michelle], joined them because bowling was her favorite hobby.","('Michelle', 'Kyle')",grandfather,"son(""Theresa"", ""Darnell""). mother(""Darnell"", ""Theresa""). grandson(""Kyle"", ""Darnell""). grandfather(""Darnell"", ""Kyle""). father(""Theresa"", ""Kyle""). daughter(""Theresa"", ""Michelle""). mother(""Michelle"", ""Theresa"").",,mother-father,['grandfather']
27,"[Eric] went on a roadtrip with his youngest child, [Carl]. [Eric] is taking his son [Michael] out for coffee. [Michael] and his brother [Carl] went to see a baseball game on Friday and had a great time. [Arthur] and his father [Eric] played video games all day last Saturday.","('Arthur', 'Michael')",brother,"child(""Eric"", ""Carl""). father(""Carl"", ""Eric""). son(""Eric"", ""Michael""). father(""Michael"", ""Eric""). brother(""Michael"", ""Carl""). brother(""Carl"", ""Michael""). son(""Eric"", ""Arthur""). father(""Arthur"", ""Eric"").",,father-son,['brother']
28,"[Margaret]'s sister, [Raquel], recently started acting. The hostess called out [Vernon]'s name and [Raquel] told her father their table was ready. [Vernon] 'daughter, [Margaret], just made it into grad school. [Shirley] loved to play dress-up with her daughter [Raquel].","('Shirley', 'Margaret')",daughter,"sister(""Margaret"", ""Raquel""). sister(""Raquel"", ""Margaret""). daughter(""Vernon"", ""Raquel""). father(""Raquel"", ""Vernon""). daughter(""Vernon"", ""Margaret""). father(""Margaret"", ""Vernon""). daughter(""Shirley"", ""Raquel""). mother(""Raquel"", ""Shirley"").",,daughter-sister,['daughter']
29,"[Theresa] took her younger sister [Robin] to the carnival last weekend. [Carl] bought a present for his mother [Robin]. [Eric] took his son [Carl] for boxing lessons. He felt the boy needed to toughen up. [Theresa]'s nephew, [Carl], brought her lunch at work.","('Eric', 'Theresa')",sister,"sister(""Theresa"", ""Robin""). sister(""Robin"", ""Theresa""). son(""Mother"", ""Carl""). mother(""Carl"", ""Mother""). son(""Eric"", ""Carl""). father(""Carl"", ""Eric""). nephew(""Theresa"", ""Carl""). aunt(""Carl"", ""Theresa"").",,son-aunt,['sister']
30,"[Constance]'s father, [Vernon], was mad at his brother [Edward]. [Edward] owed him a lot of money, and showed no signs of paying it back. [Karen]'s two sons, [Vernon] and [Edward] are both attending college in the fall.","('Constance', 'Edward')",uncle,"father(""Constance"", ""Vernon""). brother(""Vernon"", ""Edward""). brother(""Edward"", ""Vernon""). son(""Karen"", ""Vernon""). son(""Karen"", ""Edward""). mother(""Vernon"", ""Karen""). mother(""Edward"", ""Karen"").",,father-brother,['uncle']
31,"[Kristen] bought a new puppy for her son [Ronald]. This made [Ronald]'s sister [Sarah] extremely jealous. [Lonnie]'s wife, [Sarah], prepared a surprise dinner for the neighbors [Kristen] is ready to dye Easter eggs with [Sarah]!","('Lonnie', 'Kristen')",mother-in-law,"son(""Kristen"", ""Ronald""). mother(""Ronald"", ""Kristen""). sister(""Ronald"", ""Sarah""). brother(""Sarah"", ""Ronald""). wife(""Lonnie"", ""Sarah""). husband(""Sarah"", ""Lonnie"").",,wife-mother,['mother-in-law']
32,[Allen] and his brother [Michael] just talked on the phone for the first time in years. [Eric] has a son named [Carl] that looks exactly like him. [Carl] likes to watch boxing with his brother. His name is [Allen]. [Carl] is excited to cheer on his brother [Michael] in the homecoming game tonight.,"('Allen', 'Eric')",father,"brother(""Allen"", ""Michael""). brother(""Michael"", ""Allen""). son(""Eric"", ""Carl""). father(""Carl"", ""Eric""). brother(""Carl"", ""Allen""). brother(""Allen"", ""Carl""). brother(""Carl"", ""Michael""). brother(""Michael"", ""Carl"").",,brother-father,['father']
33,[Karen] made meatballs with her daughter [Theresa]. [Theresa]'s daughter [Amanda] was cooking the pasta. [Theresa] needed to go to the store. [Theresa] asked her sister [Shirley] for a ride. [Karen] loved to play dress-up with her daughter [Shirley].,"('Karen', 'Amanda')",granddaughter,"daughter(""Karen"", ""Theresa""). mother(""Theresa"", ""Karen""). daughter(""Theresa"", ""Amanda""). mother(""Amanda"", ""Theresa""). sister(""Theresa"", ""Shirley""). mother(""Karen"", ""Shirley""). daughter(""Shirley"", ""Karen"").","4 33 female(""Karen""). female(""Theresa""). female(""Amanda""). female(""Shirley"").",daughter-daughter,['granddaughter']
34,"[Ronald] sent flowers to his mother [Kristen] for Mother's Day. [Ronald] was playing his sister [Patty]. Suddenly, [Patty]'s mother [Kristen] called her to come upstairs right away. [Karen] picked up her daughter [Kristen] from school early.","('Ronald', 'Karen')",grandmother,"son(""Kristen"", ""Ronald""). mother(""Ronald"", ""Kristen""). sister(""Ronald"", ""Patty""). brother(""Patty"", ""Ronald""). mother(""Patty"", ""Kristen""). daughter(""Karen"", ""Kristen""). mother(""Kristen"", ""Karen"").",,mother-mother,['grandmother']
35,[Kristen] was sewing a sweater for her sister [Theresa]. [Theresa]'s brother [Vernon] and son [Michelle] went hiking through the mountains today. [Kristen] was playing in the sandbox with her brother [Vernon].,"('Michelle', 'Vernon')",uncle,"sister(""Kristen"", ""Theresa""). sister(""Theresa"", ""Kristen""). brother(""Theresa"", ""Vernon""). son(""Theresa"", ""Michelle""). mother(""Michelle"", ""Theresa""). brother(""Kristen"", ""Vernon""). brother(""Vernon"", ""Kristen"").",,mother-brother,['uncle']
36,"[Kristen] and her daughter [Dorothy] were on vaction. [Ronald] and his sister [Dorothy] love to play video games. [Sarah] and her sister [Dorothy] went to the basketball game. [Sarah] invited [Ronald] to meet them there, since she is his sister.","('Ronald', 'Kristen')",mother,"daughter(""Kristen"", ""Dorothy""). mother(""Dorothy"", ""Kristen""). sister(""Ronald"", ""Dorothy""). brother(""Dorothy"", ""Ronald""). sister(""Sarah"", ""Dorothy""). sister(""Dorothy"", ""Sarah""). sister(""Sarah"", ""Ronald""). brother(""Ronald"", ""Sarah"").",,sister-mother,['mother']
37,"[Dorothy]'s mother [Kristen] took her to school Monday. [Dorothy]'s sister [Sarah] took the bus to school. [Sarah] invited her mother, [Kristen], to dinner and extended the invitation to [Kristen]'s son, [Ronald].","('Sarah', 'Ronald')",brother,"mother(""Dorothy"", ""Kristen""), daughter(""Kristen"", ""Dorothy""), sister(""Dorothy"", ""Sarah""), sister(""Sarah"", ""Dorothy""), son(""Kristen"", ""Ronald""), mother(""Ronald"", ""Kristen"").",,mother-son,['brother']
38,"[Amanda] and her mother [Theresa] went dress shopping on Saturday. [Amanda] took her sister [Michelle] out for dinner to celebrate her birthday. [Eric] often plays with [Amanda] on the weekends. [Eric] plays with [Amanda] because he babysits her for his Brother, which makes [Eric] [Amanda]'s Uncle. [Theresa] wants to make a special meal for her daughter [Michelle]'s birthday.","('Theresa', 'Eric')",brother,"mother(""Amanda"", ""Theresa""). daughter(""Theresa"", ""Amanda""). sister(""Amanda"", ""Michelle""). brother(""Eric"", ""Amanda's father""). uncle(""Amanda"", ""Eric""). niece(""Eric"", ""Amanda""). daughter(""Theresa"", ""Michelle""). mother(""Michelle"", ""Theresa"").",,daughter-uncle,['brother']
39,"[Theresa] taught her son [Darnell] how to mow the lawn once he was old enough. [Amanda] asked [Theresa], her mother, to teach her how to mow the lawn too. [Henry] watched his daughter [Amanda] playing basketball. [Amanda] threw the ball to her brother [Darnell] who made the basket.","('Henry', 'Darnell')",son,"son(""Theresa"", ""Darnell""). mother(""Darnell"", ""Theresa""). daughter(""Theresa"", ""Amanda""). mother(""Amanda"", ""Theresa""). daughter(""Henry"", ""Amanda""). father(""Amanda"", ""Henry""). brother(""Amanda"", ""Darnell""). sister(""Darnell"", ""Amanda"").",,daughter-brother,['son']
40,[Robin] took her sister [Kristen] out for dinner to celebrate her birthday. [Vernon] borrowed some money from his sister [Robin]. [Kristen] could n't wait for the surprise birthday party that she was throwing for her brother [Vernon] next weekend. [Constance] needed to ask her father [Vernon] for a loan.,"('Constance', 'Robin')",aunt,"sister(""Robin"", ""Kristen""). sister(""Kristen"", ""Robin""). sister(""Vernon"", ""Robin""). brother(""Robin"", ""Vernon""). brother(""Kristen"", ""Vernon""). sister(""Vernon"", ""Kristen""). father(""Constance"", ""Vernon""). daughter(""Vernon"", ""Constance"").",,father-sister,['aunt']
41,"[Eric] and his son, [Carl], recently heard that [Kyle] was in the hospital. [Carl] loves his grandfather very much, and went to visit [Kyle] immediately, but [Eric] was too busy. [Carl] and his brother [Michael] are going to visit [Michael]'s grandfather [Kyle] at the hospital.","('Eric', 'Kyle')",father,"son(""Eric"", ""Carl""). father(""Carl"", ""Eric""). grandfather(""Carl"", ""Kyle""). grandson(""Kyle"", ""Carl""). brother(""Carl"", ""Michael""). brother(""Michael"", ""Carl""). grandfather(""Michael"", ""Kyle""). grandson(""Kyle"", ""Michael"").",,son-grandfather,['father']
42,"[Shirley] and her daughter [Margaret] are entering the competition together. [Margaret] 'father, [Vernon], recently went back to school. [Margaret] went to visit her aunt, [Robin], who's birthday was yesterday. [Robin] and [Vernon] had a picnic at the park. They had sandwiches and salad.","('Shirley', 'Robin')",sister,"daughter(""Shirley"", ""Margaret""). mother(""Margaret"", ""Shirley""). father(""Margaret"", ""Vernon""). aunt(""Margaret"", ""Robin""). niece(""Robin"", ""Margaret""). brother(""Robin"", ""Vernon""). sister(""Vernon"", ""Robin"").",,daughter-aunt,['sister']
43,"[Arthur] had always been close to his brother [Allen]. On the other hand, [Arthur] and his brother [Carl] had n't spoken in years. [Robin]'s daughter Paula went to law school. Paula's brother [Carl] ended up working in a fast food restaurant. [Arthur]'s mother, [Robin], was worried about him. He had n't been eating.","('Allen', 'Carl')",brother,"brother(""Arthur"", ""Allen""), brother(""Allen"", ""Arthur""). brother(""Arthur"", ""Carl""). brother(""Carl"", ""Arthur""). daughter(""Robin"", ""Paula""), mother(""Paula"", ""Robin""). brother(""Paula"", ""Carl""), brother(""Carl"", ""Paula""). mother(""Arthur"", ""Robin""), son(""Robin"", ""Arthur"").",,brother-brother,['brother']
44,"[Darnell]'s father [Henry] and grandfather [Kyle] went to the park to play chess. [Darnell] is going to the arcade with his sister, [Amanda]. [Amanda] asked [Kyle], her grandfather, for some candy.","('Henry', 'Kyle')",father,"father(""Darnell"", ""Henry""). son(""Henry"", ""Darnell""). grandfather(""Darnell"", ""Kyle""). grandson(""Kyle"", ""Darnell""). sister(""Darnell"", ""Amanda""). brother(""Amanda"", ""Darnell""). grandfather(""Amanda"", ""Kyle""). granddaughter(""Kyle"", ""Amanda"").",,son-grandfather,['father']
45,"[Arthur] asked his aunt [Shirley] what college he should attend. [Robin] visited her son [Arthur] at college. [Robin] went out to dinner with her sister [Shirley], and [Shirley]'s daughter [Margaret].","('Robin', 'Margaret')",niece,"aunt(""Arthur"", ""Shirley""). nephew(""Shirley"", ""Arthur""). son(""Robin"", ""Arthur""). mother(""Arthur"", ""Robin""). sister(""Robin"", ""Shirley""). sister(""Shirley"", ""Robin""). daughter(""Shirley"", ""Margaret""). mother(""Margaret"", ""Shirley"").",,sister-daughter,['niece']
46,"[Karen] was very proud of her son, [Vernon]. She did n't feel the same way about his brother, [Edward], she thought he was a disgrace. [Karen] dotes on her son [Edward]. Because of this, [Edward] is pretty spoiled. Everyone said [Ronald] looked just like his father, [Edward]. They had the same build, facial features, and even combed their hair in a similar style.","('Karen', 'Ronald')",grandson,"son(""Karen"", ""Vernon""). son(""Karen"", ""Edward""). mother(""Edward"", ""Karen""). mother(""Vernon"", ""Karen""). father(""Ronald"", ""Edward""). son(""Edward"", ""Ronald"").","5 46 female(""Karen""). male(""Vernon""). male(""Edward""). male(""Ronald"").",son-son,['grandson']
47,"[Robin] dotes on her son [Carl]. Because of this, [Carl] is pretty spoiled. [Arthur] looked up to his older brother named [Carl]. [Carl] was very strong and quite brave and that's the reason [Arthur] admires him. [Robin] dotes on her son [Arthur]. Because of this, [Arthur] is pretty spoiled. [Michael] asked his mom [Robin] if she would bake him a cake. [Robin] told him she would n't, because [Michael] was getting fat and did n't need the extra calories.","('Michael', 'Carl')",brother,"son(""Robin"", ""Carl""). mother(""Carl"", ""Robin""). brother(""Arthur"", ""Carl""). brother(""Carl"", ""Arthur""). son(""Robin"", ""Arthur""). mother(""Arthur"", ""Robin""). son(""Robin"", ""Michael""). mother(""Michael"", ""Robin"").",,mother-son,['brother']
48,"[Theresa] likes going to the mall with her aunt [Raquel]. [Theresa] and her brother [Vernon] played tennis together. [Theresa]'s sister [Robin] has an injured leg and watched instead. [Vernon] is raising his daughter, [Raquel] all by himself.","('Vernon', 'Robin')",sister,"aunt(""Theresa"", ""Raquel""). niece(""Raquel"", ""Theresa""). brother(""Theresa"", ""Vernon""). sister(""Theresa"", ""Robin""). sister(""Vernon"", ""Theresa""). daughter(""Vernon"", ""Raquel""). father(""Raquel"", ""Vernon"").",,sister-sister,['sister']
