id,story,query,target,parse,gender,f_comb,ans
418,"[Vernon]'s daughter, [Stacy], was trying to get ready for a date. Unfortunately, her sister, [Raquel] kept getting in her way. [Edward] went his brother to pick up his brother's daughter [Raquel] from a birthday party. [Vernon] took her daughter [Raquel] for ice cream.","('Vernon', 'Edward')",brother,"daughter(""Vernon"", ""Stacy""). father(""Stacy"", ""Vernon""). sister(""Stacy"", ""Raquel""), sister(""Raquel"", ""Stacy""), daughter(""Vernon"", ""Raquel""). father(""Raquel"", ""Vernon""). brother(""Edward"", ""Edward's brother""), daughter(""Edward's brother"", ""Raquel"").",,daughter-uncle,[]
439,[Robin] loved to care for her newborn child [Allen]. [Eric] had a great meal with his son [Allen] and daughter [Barbara] [Allen] and his sister [Barbara] were hoping for a snow day.,"('Robin', 'Barbara')",daughter,"child(""Robin"", ""Allen""). mother(""Allen"", ""Robin""). son(""Eric"", ""Allen""). father(""Allen"", ""Eric""). daughter(""Eric"", ""Barbara""). father(""Barbara"", ""Eric""). sister(""Allen"", ""Barbara""). brother(""Barbara"", ""Allen"").",,son-sister,[]
473,"[Allen] and his mother, [Robin], drove to the elementary school. [Robin]'s daughter, [Barbara], had finished her first day, and they wanted to pick her up, and see how her day had been. [Barbara] wanted her brother [Allen] to go to the park and play. Since Benajmin is under 13, he had to ask his grandfather [Kyle] if he could go to the park.","('Kyle', 'Barbara')",granddaughter,"son(""Robin"", ""Allen""). mother(""Allen"", ""Robin""). daughter(""Robin"", ""Barbara""). mother(""Barbara"", ""Robin""). brother(""Barbara"", ""Allen""). sister(""Allen"", ""Barbara""). grandson(""Kyle"", ""Benjamin""). grandfather(""Benjamin"", ""Kyle"").",,grandson-sister,[]
475,"[Kyle] is the proud father of [Robin]. [Robin] is the mother of [Allen] the traitor. [Kyle] spends every weekend teaching his grandson, [Allen] how to do different construction projects. [Marlene] was playing in the sandbox with her brother [Allen].","('Marlene', 'Kyle')",grandfather,"father(""Kyle"", ""Robin""). mother(""Robin"", ""Allen""). son(""Robin"", ""Allen""). grandfather(""Kyle"", ""Allen""). grandson(""Allen"", ""Kyle""). brother(""Marlene"", ""Allen""). sister(""Allen"", ""Marlene"").",,brother-grandfather,[]
502,"[Eric] is picking up his niece [Christine] from school today because her parents are both working. [Theresa] is married to Thomas and when she was 24, the couple welcomed [Christine] into the world. [Eric]'s sister [Theresa] wanted [Eric]'s daughter, [Barbara], to go with them to the theatre.","('Theresa', 'Barbara')",niece,"niece(""Eric"", ""Christine""). uncle(""Christine"", ""Eric""). parents(""Christine"", [""Theresa"", ""Thomas""]). child(""Theresa"", ""Christine""). mother(""Christine"", ""Theresa""). father(""Christine"", ""Thomas""). husband(""Theresa"", ""Thomas""). wife(""Thomas"", ""Theresa""). sister(""Eric"", ""Theresa""). brother(""Theresa"", ""Eric""). daughter(""Eric"", ""Barbara""). father(""Barbara"", ""Eric"").",,brother-daughter,
562,"[Robin] and her daughter [Serena] were on vaction. [Karen] is so proud of [Serena] who is the sister of her grandson. [Serena] and her sister [Marlene] were fighting. They never fight long though, and they made up the next day. [Karen] is ready to dye Easter eggs with [Robin]!","('Marlene', 'Karen')",grandmother,"daughter(""Robin"", ""Serena""). mother(""Serena"", ""Robin""). sister(""Serena"", ""Marlene""). sister(""Marlene"", ""Serena""). grandson(""Karen"", ""Unnamed""). grandmother(""Unnamed"", ""Karen"").",,sister-grandmother,[]
571,[Kristen] liked to play hide and seek with her son [Lonnie]. [Kristen]'s son called [Jeffery] is good and intelligent boy [Jeffery] looked up to his older brother named [Lonnie]. [Lonnie] was very strong and quite brave and that's the reason [Jeffery] admires him. [Eric] was in the backyard throwing the baseball around with his uncle [Lonnie].,"('Kristen', 'Eric')",brother,"son(""Kristen"", ""Lonnie""), mother(""Lonnie"", ""Kristen""), son(""Kristen"", ""Jeffery""), mother(""Jeffery"", ""Kristen""), brother(""Lonnie"", ""Jeffery""), brother(""Jeffery"", ""Lonnie""), uncle(""Eric"", ""Lonnie""), nephew(""Lonnie"", ""Eric"").",,son-uncle,[]
574,"[Andrew]'s sister, [Stacy], was so happy to have him home. He was home from college. [James] met his brother [Andrew] for drinks after work. [Vernon]'s son, [James], had been misbehaving, so [Vernon] had to spank him. [James] made dinner reservations for his sister [Stacy].","('Vernon', 'Stacy')",daughter,"sister(""Andrew"", ""Stacy""), brother(""Stacy"", ""Andrew""), brother(""James"", ""Andrew""), brother(""Andrew"", ""James""), son(""Vernon"", ""James""), father(""James"", ""Vernon"") sister(""James"", ""Stacy""), brother(""Stacy"", ""James"").",,son-sister,
576,"[Robin] loved to play dress-up with her daughter [Serena]. [Karen] is married to Thomas and when she was 24, the couple welcomed [Robin] into the world. [Vernon] is picking up his niece [Serena] from school today because her parents are both working. [Robin] borrowed some money from her brother [Vernon].","('Karen', 'Vernon')",son,"daughter(""Robin"", ""Serena""). mother(""Serena"", ""Robin""). wife(""Karen"", ""Thomas""). husband(""Thomas"", ""Karen""). child(""Karen"", ""Robin""). child(""Thomas"", ""Robin""). parents(""Robin"", ""Karen"", ""Thomas""). niece(""Vernon"", ""Serena""). uncle(""Serena"", ""Vernon""). brother(""Robin"", ""Vernon""). sister(""Vernon"", ""Robin"").",,daughter-brother,[]
580,"[Eric] found his daughter, [Lisa], drunk and alone on the bathroom floor. [Lisa] needed to go to the store. [Lisa] asked her sister [Marlene] for a ride. [Kristen] was more than happy to help her sister by watching her child [Lisa]. [Marlene] realized that her father [Eric] was gay.","('Eric', 'Kristen')",sister,"daughter(""Eric"", ""Lisa""). father(""Lisa"", ""Eric""). sister(""Lisa"", ""Marlene""). sister(""Marlene"", ""Lisa""). child(""Kristen"", ""Lisa""), mother(""Lisa"", ""Kristen""). father(""Marlene"", ""Eric""). daughter(""Eric"", ""Marlene"").",,daughter-aunt,[]
599,[Edward] loves his daughter [Dionne]. They often spend time with Tim's mother [Karen]. [Dionne] and her brother [Lonnie] sat down together to clip coupons. [Edward] is taking his son [Lonnie] out for coffee.,"('Karen', 'Dionne')",granddaughter,"daughter(""Edward"", ""Dionne""). father(""Dionne"", ""Edward""). mother(""Tim"", ""Karen""). son(""Edward"", ""Lonnie""). brother(""Dionne"", ""Lonnie""). sister(""Lonnie"", ""Dionne""). father(""Lonnie"", ""Edward"").",,son-daughter,[]
610,"[Drew] helped his brother, [James], study for the chemistry exam. [James] is a factory worker. He has a wonderful sister by the name of [Stacy]. [Drew] was n't sure if he actually wanted to visit his sister [Stacy]. After he thought about it, he decided to visit his brother [Andrew] instead.","('Andrew', 'Stacy')",sister,"brother(""Drew"", ""James""). brother(""James"", ""Drew""). brother(""Drew"", ""Andrew""). brother(""Andrew"", ""Drew""). sister(""Drew"", ""Stacy""). sister(""James"", ""Stacy""). brother(""Stacy"", ""James""). brother(""Stacy"", ""Drew"")",,brother-sister,
660,"[Vernon] came to visit his wife [Shirley] for lunch today. [Drew] asked his son, [Vernon], to help paint his house. [Shirley] was so excited to learn that her son [Drew] got accepted into college. [Raquel] and [Drew]","('Shirley', 'Raquel')",daughter-in-law,"wife(""Vernon"", ""Shirley""). husband(""Shirley"", ""Vernon""). son(""Drew"", ""Vernon""). father(""Vernon"", ""Drew""). son(""Shirley"", ""Drew""). mother(""Drew"", ""Shirley"").",,son-wife,[]
682,"[Shirley] loved to care for her newborn child [Drew]. [Shirley]'s sister, [Theresa], recently started acting. [Shirley]'s sister, [Kristen], recently started acting. [Theresa]'s sister, [Kristen], recently started acting.","('Kristen', 'Drew')",nephew,"child(""Shirley"", ""Drew""). mother(""Drew"", ""Shirley""). sister(""Shirley"", ""Theresa""). sister(""Shirley"", ""Kristen""). sister(""Theresa"", ""Kristen""). sister(""Kristen"", ""Theresa"").",,sister-son,[]
684,"[Michelle] gets along with her brother [Eddie] better than her sister [Christine]. [Barry] is in the same grade as his sister [Michelle], but his sister [Christine] is 2 years ahead of him.","('Eddie', 'Christine')",sister,"brother(""Michelle"", ""Eddie""). sister(""Michelle"", ""Christine""). sister(""Christine"", ""Michelle""). sister(""Barry"", ""Michelle""). brother(""Michelle"", ""Barry""). sister(""Barry"", ""Christine""). sister(""Christine"", ""Barry"").",,sister-sister,[]
716,"[Barry] and his father [Henry] went to the golf course in town on Saturday and had a great time. [Henry] and his daughter, [Christine] go to concerts every week. [Barry] and his sister [Christine] went to the movies to watch the newest superhero flick. i am looking forward, visiting with my aunt [Robin], i really hope [Christine] is their as well!","('Henry', 'Robin')",sister,"son(""Henry"", ""Barry""). father(""Barry"", ""Henry""). daughter(""Henry"", ""Christine""). father(""Christine"", ""Henry""). sister(""Barry"", ""Christine""). brother(""Christine"", ""Barry""). aunt(""Robin"").",,daughter-aunt,[]
726,"[Karen] went to visit her grandmother, [Constance], in the retirement home. [Constance] and her mother [Shirley] went to volunteer at the homeless shelter last weekend. [Shirley] was unhappy with her son, [Drew], and his grades. She enlisted a tutor to help him. [Drew] and his sister [Constance] went to the movies to watch the newest superhero flick.","('Shirley', 'Karen')",mother,"grandmother(""Karen"", ""Constance""). granddaughter(""Constance"", ""Karen""). mother(""Constance"", ""Shirley""). daughter(""Shirley"", ""Constance""). son(""Shirley"", ""Drew""). mother(""Drew"", ""Shirley""). sister(""Drew"", ""Constance""). brother(""Constance"", ""Drew"").",,daughter-grandmother,[]
734,"[Casey] got a gift for his brother calvin. [Drew]'s mother, [Shirley], did n't like the gift and took it away from him. [Drew] needed his brother, [Andrew], to help with a problem [Shirley] was so glad to travel with her son, [Andrew]. He made the trip enjoyable.","('Casey', 'Shirley')",mother,"brother(""Casey"", ""Calvin""). brother(""Calvin"", ""Casey""). mother(""Drew"", ""Shirley""). son(""Shirley"", ""Drew""). brother(""Drew"", ""Andrew""). brother(""Andrew"", ""Drew""). son(""Shirley"", ""Andrew""). mother(""Andrew"", ""Shirley"").",,brother-mother,[]
747,[Ronald] bought a book for his father [Edward]. [Edward] watched his son [Jeffery] play catch. [Jeffery] tossed the ball back and fourth with his brother [Ronald]. [Ronald] has a sister who has a son. The son is named [Eric].,"('Edward', 'Eric')",brother,"son(""Edward"",""Ronald""). father(""Ronald"", ""Edward""). son(""Edward"",""Jeffery""). father(""Jeffery"", ""Edward""). brother(""Jeffery"", ""Ronald""). brother(""Ronald"", ""Jeffery""). nephew(""Ronald"", ""Eric""). uncle(""Eric"", ""Ronald"").",,son-uncle,[]
871,[Michael] is husband of [Marlene] and son of [Eric]. [Eric] who is [Carl]'s father grounded [Carl] after finding out what [Carl] had done at school. [Carl] has a sibling who is much younger than he is. They get along well and his name is [Michael].,"('Eric', 'Marlene')",daughter-in-law,"husband(""Marlene"", ""Michael""). wife(""Michael"", ""Marlene""). son(""Eric"", ""Michael""). father(""Michael"", ""Eric""). father(""Carl"", ""Eric""). son(""Eric"", ""Carl""). sibling(""Carl"", ""Michael"").Gendermale(""Michael""). female(""Marlene""). male(""Eric""). male(""Carl"").",,son-wife,
875,"[Christine] and her mother [Theresa] went to volunteer at the homeless shelter last weekend. [Henry] and his wife [Theresa] love being outdoors. One weekend, [Henry] took his daughter, [Christine], out on a camping trip. [Theresa] and her sister [Eric] went to the ice cream shop.","('Eric', 'Christine')",niece,"mother(""Christine"", ""Theresa""). daughter(""Theresa"", ""Christine""). wife(""Henry"", ""Theresa""). husband(""Theresa"", ""Henry""). daughter(""Henry"", ""Christine""). father(""Christine"", ""Henry""). sister(""Theresa"", ""Eric"").",,sister-daughter,[]
880,[Allen]'s mother [Robin] made a cake for his birthday and her other son [Arthur] ate a piece of it. [Carl]'s brother [Allen] and mother [Robin] met him early in the morning before his college graduation.,"('Allen', 'Arthur')",brother,"mother(""Allen"", ""Robin""). son(""Robin"", ""Allen""). son(""Robin"", ""Arthur"") mother(""Arthur"", ""Robin""). brother(""Carl"", ""Allen""). brother(""Allen"", ""Carl""). mother(""Carl"", ""Robin""). son(""Robin"", ""Carl"").",,mother-son,
881,"[Verdie] was sewing a sweater for her sister [Michelle]. [Henry] went to pick up his daughter [Michelle] from school on the last day before summer vacation. [Henry] always saw his daughter, [Verdie], as the apple of his eye. [Edward] is a great uncle of [Verdie].","('Henry', 'Edward')",brother,"sister(""Verdie"", ""Michelle""). sister(""Michelle"", ""Verdie""). daughter(""Henry"", ""Michelle""). father(""Michelle"", ""Henry""). daughter(""Henry"", ""Verdie""). father(""Verdie"", ""Henry""). greatUncle(""Edward"", ""Verdie""). greatNiece(""Verdie"", ""Edward"").",,daughter-uncle,[]
894,"[Carl] got a gift for his brother calvin. [Allen]'s mother, [Robin], did n't like the gift and took it away from him. [Allen] and his brother [Arthur] wanted to go to the arcade. [Arthur] asked his mother, [Robin], if they could, and she said yes.","('Carl', 'Robin')",mother,"brother(""Carl"", ""Calvin""), brother(""Calvin"", ""Carl""). mother(""Allen"", ""Robin""), son(""Robin"", ""Allen""). brother(""Allen"", ""Arthur""), brother(""Arthur"", ""Allen""), mother(""Arthur"", ""Robin""), son(""Robin"", ""Arthur"").",,brother-mother,[]
948,[Shirley] went with her nephew [Michael] to pick out a pet puppy for his birthday. [Edward] and kyle are brothers. They went out to eat with [Eric]'s sister [Shirley]. [Eric] was delighted to watch his son [Michael] steal third base in the Championship baseball game.,"('Edward', 'Shirley')",sister,"nephew(""Shirley"", ""Michael""). aunt(""Michael"", ""Shirley""). brother(""Edward"", ""Kyle""). brother(""Kyle"", ""Edward""). sister(""Eric"", ""Shirley""). brother(""Shirley"", ""Eric""). son(""Eric"", ""Michael""). father(""Michael"", ""Eric"").",,brother-sister,[]
952,"[Edward] took her daughter [Patty] for ice cream. [Edward] is proud of his son. His name is [Benny]. [Benny] was delayed picking up his sister, [Patty], from class. Thankfully, [Kristen]'s mom, [Patty], was already there.","('Benny', 'Kristen')",mother,"daughter(""Edward"", ""Patty""). father(""Patty"", ""Edward"") son(""Edward"", ""Benny""), father(""Benny"", ""Edward""), sister(""Benny"", ""Patty""), brother(""Patty"", ""Benny""), mother(""Kristen"", ""Patty""), daughter(""Patty"", ""Kristen"").",,sister-mother,
991,"[Verdie] went on a vacation with her brother [Barry]. [Verdie]'s mother is the child of [Karen]. [Verdie] saw her mother, [Theresa], at the mall. [Theresa] was there shopping with her son [Barry].","('Karen', 'Barry')",grandson,"brother(""Verdie"", ""Barry""). sister(""Barry"", ""Verdie""). child(""Theresa"", ""Karen""). parent(""Karen"", ""Theresa""). mother(""Verdie"", ""Theresa""). daughter(""Theresa"", ""Verdie""). son(""Theresa"", ""Barry""). mother(""Barry"", ""Theresa"").",,granddaughter-brother,[]
1001,"[Kyle] took his grandson [Carl] to the baseball game. [Carl]'s brother [Michael] hates baseball. [Eric] played catch with his son [Carl]. Later, he went out to eat with his own father, [Kyle]","('Michael', 'Kyle')",grandfather,"grandson(""Kyle"", ""Carl""). grandfather(""Carl"", ""Kyle""). brother(""Carl"", ""Michael""). son(""Eric"", ""Carl""). father(""Carl"", ""Eric""). father(""Eric"", ""Kyle""). son(""Kyle"", ""Eric"").",,brother-grandfather,[]
1028,"[Theresa] had a heart-to-heart conversation with her daughter [Michelle] about some things. [Robin] likes going to the mall with her aunt [Michelle]. [Henry], [Theresa]'s husband, asked her where his daughter [Michelle] was. [Theresa] said she did n't know.","('Theresa', 'Robin')",sister,"daughter(""Theresa"", ""Michelle""). mother(""Michelle"", ""Theresa""). aunt(""Robin"", ""Michelle""). niece(""Michelle"", ""Robin""). husband(""Theresa"", ""Henry""). wife(""Henry"", ""Theresa""). daughter(""Henry"", ""Michelle""). father(""Michelle"", ""Henry"").",,daughter-aunt,[]
1055,[Sarah] was talking about food with her sister [Dionne]. [Edward] was shopping for a new dress for his daughter [Sarah]. [Edward] loves his daughter [Dionne]. They often spend time with Tim's mother [Karen].,"('Karen', 'Dionne')",granddaughter,"sister(""Sarah"", ""Dionne""). sister(""Dionne"", ""Sarah""). daughter(""Edward"", ""Sarah""). father(""Sarah"", ""Edward""). daughter(""Edward"", ""Dionne""). father(""Dionne"", ""Edward""). mother(""Tim"", ""Karen""). son(""Karen"", ""Tim"").",,son-daughter,[]
1073,[Shirley] and her daughter [Constance] went out to dinner. [Casey] id [Shirley]'s only child. They have a really strong bond. They spend a lot of their free time together. [Edward]'s sister [Shirley] asked him for some help planting her garden. [Edward] is picking up his niece [Constance] from school today because her parents are both working.,"('Casey', 'Edward')",uncle,"daughter(""Shirley"", ""Constance""). mother(""Constance"", ""Shirley""). child(""Shirley"", ""Casey""). parent(""Casey"", ""Shirley""). sister(""Edward"", ""Shirley""). brother(""Shirley"", ""Edward""). niece(""Edward"", ""Constance""). uncle(""Constance"", ""Edward"").",,mother-brother,[]
1088,"[Edward] and [Kristen] celebrated their one year anniversary of marriage today. [Kristen]'s daughter, [Dorothy], just graduated high school. [Dionne] went shopping at the mall with her mother [Kristen] [Edward] is a good character in the society, He has daughter namely called [Dorothy], He does not any expect from others. Also he is sports man. But due to family situation unable to participate in competition, Finally his daughter after some years won in that competition. so he proud bu his daughter","('Dionne', 'Dorothy')",sister,"husband(""Kristen"", ""Edward""). wife(""Edward"", ""Kristen""). daughter(""Kristen"", ""Dorothy""). mother(""Dorothy"", ""Kristen""). daughter(""Edward"", ""Dorothy""). father(""Dorothy"", ""Edward"").",,mother-daughter,[]
1091,"[Margaret] and her sister [Casey] went to the ice cream shop. [Stacy] apologized to her father in law Rod for the accident. Rod's son [Casey] had backed into his car in the driveway when he was attempting to pull out. [Casey] asked his father, [Vernon], to help him with his math homework. [Vernon] could n't, because he was lousy at math himself. [Margaret] took her father [Vernon] out for his birthday. They had a wonderful time.","('Stacy', 'Vernon')",father-in-law,"sister(""Margaret"", ""Casey""). sister(""Casey"", ""Margaret""). father_in_law(""Stacy"", ""Rod""). son(""Rod"", ""Casey""). father(""Casey"", ""Vernon""). son(""Vernon"", ""Casey""). father(""Margaret"", ""Vernon""). daughter(""Vernon"", ""Margaret"").",,husband-father,[]
1104,"[Darnell] loves his grandfather [Kyle], very much. [Kyle] loves him, too. [Henry]'s son, [Darnell], had been misbehaving, so [Henry] had to spank him. [Kyle] has a son named [Henry] that looks exactly like him. [Kyle] went on a roadtrip with his youngest child, [Vernon].","('Henry', 'Vernon')",brother,"grandfather(""Darnell"", ""Kyle""). grandson(""Kyle"", ""Darnell""). son(""Henry"", ""Darnell""). father(""Darnell"", ""Henry""). son(""Kyle"", ""Henry""). father(""Henry"", ""Kyle""). child(""Kyle"", ""Vernon""). father(""Vernon"", ""Kyle"").",,father-son,[]
1133,"[Shirley] and her brother [Eric] went to the basketball game and had a great time. [Eric] took his brother [Henry] to get lunch at a local diner. [Kyle] went on a roadtrip with his youngest child, [Henry]. [Henry] is going to the arcade with his sister, [Shirley].","('Kyle', 'Shirley')",daughter,"brother(""Shirley"", ""Eric""). sister(""Eric"", ""Shirley""). brother(""Eric"", ""Henry""). brother(""Henry"", ""Eric""). child(""Kyle"", ""Henry""). parent(""Henry"", ""Kyle""). sister(""Henry"", ""Shirley""). brother(""Shirley"", ""Henry"").",,son-sister,[]
1150,"[Robin] took her son [Allen] to the mall to shop for school clothes. [Allen] hated [Eric], so [Allen] ran away from home. [Allen] figured [Eric] did n't like being hid dad anyhow. [Robin], [Carl] mother, likes to take him to eat ice cream on Sundays. [Allen] always looked up to his big brother [Carl] and wanted to be just like him.","('Carl', 'Eric')",father,"son(""Robin"", ""Allen""). mother(""Allen"", ""Robin""). dislikes(""Allen"", ""Eric""). son(""Robin"", ""Carl""). mother(""Carl"", ""Robin""). brother(""Allen"", ""Carl""). brother(""Carl"", ""Allen"").",,brother-father,[]
1160,"[Margaret] waited for her mother [Shirley] to pick her up at the bus stop. While she waited, she called her sister [Raquel] on the phone. [Shirley] took her daughter [Raquel] to see her very first ballet performance. [Raquel] and [Drew] were shopping in the department store for clothes for their kids. Both of them needed to use the bathroom. They found the restroom signs, and [Drew] identified the male sign and went into the male bathroom. [Raquel] than identified the female sign on the stahl, and went to the bathroom there.","('Drew', 'Shirley')",mother-in-law,"mother(""Margaret"", ""Shirley""). daughter(""Shirley"", ""Margaret""). sister(""Margaret"", ""Raquel""). sister(""Raquel"", ""Margaret""). daughter(""Shirley"", ""Raquel""). mother(""Raquel"", ""Shirley"").",,wife-mother,[]
1161,"[Kyle] rushed to see his grandmother, [Raquel], in the hospital. [Raquel]'s sister, [Constance], recently started acting. [Margaret] asked her two sisters [Raquel] and [Constance] if they were free for coffee this coming weekend.","('Constance', 'Kyle')",grandfather,"grandmother(""Kyle"", ""Raquel""). grandson(""Raquel"", ""Kyle""). sister(""Raquel"", ""Constance""). sister(""Constance"", ""Raquel""). sister(""Margaret"", ""Raquel""). sister(""Margaret"", ""Constance""). sister(""Raquel"", ""Margaret""). sister(""Constance"", ""Margaret"").",,sister-grandfather,[]
1169,"[Shirley] could n't wait to get off the plane to see her mother, [Raquel]. [Henry] loves his mother [Karen] very much. [Shirley] loves her brother [Henry]. [Karen] took her daughter [Shirley] to the store to find her some new boots for the cold winter weather.","('Raquel', 'Karen')",grandmother,"mother(""Shirley"", ""Raquel""). daughter(""Raquel"", ""Shirley""). mother(""Henry"", ""Karen""). son(""Karen"", ""Henry""). brother(""Shirley"", ""Henry""). sister(""Henry"", ""Shirley""). daughter(""Karen"", ""Shirley""). mother(""Shirley"", ""Karen"").",,mother-mother,[]
1171,[Lisa] and her mother [Robin] went dress shopping on Saturday. [Edward] is a great uncle of [Lisa]. [Robin] told her son [Michael] to go outside and play. His sister [Lisa] went with him.,"('Robin', 'Edward')",brother,"mother(""Lisa"", ""Robin""). daughter(""Robin"", ""Lisa""). great_uncle(""Lisa"", ""Edward""). great_niece(""Edward"", ""Lisa""). son(""Robin"", ""Michael""). mother(""Michael"", ""Robin""). sister(""Michael"", ""Lisa""). brother(""Lisa"", ""Michael"").",,daughter-uncle,[]
1211,"[Vernon] went to the mall with his daughter [Margaret]. [Margaret]'s brother [Constance] stayed home because he hates the mall. [Casey] went to the park with his sister, [Margaret], and his father, [Vernon]. The three of them had a wonderful time there.","('Constance', 'Vernon')",father,"daughter(""Vernon"", ""Margaret""). father(""Margaret"", ""Vernon""). brother(""Margaret"", ""Constance""). sister(""Casey"", ""Margaret""). brother(""Margaret"", ""Casey""). father(""Casey"", ""Vernon""). son(""Vernon"", ""Casey"").",,sister-father,[]
