id,story,query,target,f_comb
24,"[Casey] was having an argument with her sister, [Constance]. [Vernon] is the loving father of his wonderful child [Constance]. [Constance] loves [Vernon]. [Vernon]'s mother [Karen] made an apple pie for [Vernon]'s son [Casey].","('Casey', 'Karen')",grandmother,father-mother
25,"[Carl] went to his grandmother [Karen]'s house for the summer. He had a wonderful time there. [Allen] looked up to his older brother named [Carl]. [Carl] was very strong and quite brave and that's the reason [Allen] admires him. [Carl]'s father [Eric] is going to coach the team this year. [Eric]'s son, [Allen], had been misbehaving, so [Eric] had to spank him.","('Eric', 'Karen')",mother,son-grandmother
26,"[Theresa] likes taking her son [Darnell] to school. [Kyle] and his grandson [Darnell] love to go to the ball park. [Theresa]'s father, [Kyle], took her to the bowling alley. [Theresa]'s daughter, [Michelle], joined them because bowling was her favorite hobby.","('Michelle', 'Kyle')",grandfather,mother-father
27,"[Eric] went on a roadtrip with his youngest child, [Carl]. [Eric] is taking his son [Michael] out for coffee. [Michael] and his brother [Carl] went to see a baseball game on Friday and had a great time. [Arthur] and his father [Eric] played video games all day last Saturday.","('Arthur', 'Michael')",brother,father-son
28,"[Margaret]'s sister, [Raquel], recently started acting. The hostess called out [Vernon]'s name and [Raquel] told her father their table was ready. [Vernon] 'daughter, [Margaret], just made it into grad school. [Shirley] loved to play dress-up with her daughter [Raquel].","('Shirley', 'Margaret')",daughter,daughter-sister
29,"[Theresa] took her younger sister [Robin] to the carnival last weekend. [Carl] bought a present for his mother [Robin]. [Eric] took his son [Carl] for boxing lessons. He felt the boy needed to toughen up. [Theresa]'s nephew, [Carl], brought her lunch at work.","('Eric', 'Theresa')",sister,son-aunt
30,"[Constance]'s father, [Vernon], was mad at his brother [Edward]. [Edward] owed him a lot of money, and showed no signs of paying it back. [Karen]'s two sons, [Vernon] and [Edward] are both attending college in the fall.","('Constance', 'Edward')",uncle,father-brother
31,"[Kristen] bought a new puppy for her son [Ronald]. This made [Ronald]'s sister [Sarah] extremely jealous. [Lonnie]'s wife, [Sarah], prepared a surprise dinner for the neighbors [Kristen] is ready to dye Easter eggs with [Sarah]!","('Lonnie', 'Kristen')",mother-in-law,wife-mother
32,[Allen] and his brother [Michael] just talked on the phone for the first time in years. [Eric] has a son named [Carl] that looks exactly like him. [Carl] likes to watch boxing with his brother. His name is [Allen]. [Carl] is excited to cheer on his brother [Michael] in the homecoming game tonight.,"('Allen', 'Eric')",father,brother-father
33,[Karen] made meatballs with her daughter [Theresa]. [Theresa]'s daughter [Amanda] was cooking the pasta. [Theresa] needed to go to the store. [Theresa] asked her sister [Shirley] for a ride. [Karen] loved to play dress-up with her daughter [Shirley].,"('Karen', 'Amanda')",granddaughter,daughter-daughter
34,"[Ronald] sent flowers to his mother [Kristen] for Mother's Day. [Ronald] was playing his sister [Patty]. Suddenly, [Patty]'s mother [Kristen] called her to come upstairs right away. [Karen] picked up her daughter [Kristen] from school early.","('Ronald', 'Karen')",grandmother,mother-mother
35,[Kristen] was sewing a sweater for her sister [Theresa]. [Theresa]'s brother [Vernon] and son [Michelle] went hiking through the mountains today. [Kristen] was playing in the sandbox with her brother [Vernon].,"('Michelle', 'Vernon')",uncle,mother-brother
36,"[Kristen] and her daughter [Dorothy] were on vaction. [Ronald] and his sister [Dorothy] love to play video games. [Sarah] and her sister [Dorothy] went to the basketball game. [Sarah] invited [Ronald] to meet them there, since she is his sister.","('Ronald', 'Kristen')",mother,sister-mother
37,"[Dorothy]'s mother [Kristen] took her to school Monday. [Dorothy]'s sister [Sarah] took the bus to school. [Sarah] invited her mother, [Kristen], to dinner and extended the invitation to [Kristen]'s son, [Ronald].","('Sarah', 'Ronald')",brother,mother-son
38,"[Amanda] and her mother [Theresa] went dress shopping on Saturday. [Amanda] took her sister [Michelle] out for dinner to celebrate her birthday. [Eric] often plays with [Amanda] on the weekends. [Eric] plays with [Amanda] because he babysits her for his Brother, which makes [Eric] [Amanda]'s Uncle. [Theresa] wants to make a special meal for her daughter [Michelle]'s birthday.","('Theresa', 'Eric')",brother,daughter-uncle
39,"[Theresa] taught her son [Darnell] how to mow the lawn once he was old enough. [Amanda] asked [Theresa], her mother, to teach her how to mow the lawn too. [Henry] watched his daughter [Amanda] playing basketball. [Amanda] threw the ball to her brother [Darnell] who made the basket.","('Henry', 'Darnell')",son,daughter-brother
40,[Robin] took her sister [Kristen] out for dinner to celebrate her birthday. [Vernon] borrowed some money from his sister [Robin]. [Kristen] could n't wait for the surprise birthday party that she was throwing for her brother [Vernon] next weekend. [Constance] needed to ask her father [Vernon] for a loan.,"('Constance', 'Robin')",aunt,father-sister
41,"[Eric] and his son, [Carl], recently heard that [Kyle] was in the hospital. [Carl] loves his grandfather very much, and went to visit [Kyle] immediately, but [Eric] was too busy. [Carl] and his brother [Michael] are going to visit [Michael]'s grandfather [Kyle] at the hospital.","('Eric', 'Kyle')",father,son-grandfather
42,"[Shirley] and her daughter [Margaret] are entering the competition together. [Margaret] 'father, [Vernon], recently went back to school. [Margaret] went to visit her aunt, [Robin], who's birthday was yesterday. [Robin] and [Vernon] had a picnic at the park. They had sandwiches and salad.","('Shirley', 'Robin')",sister,daughter-aunt
43,"[Arthur] had always been close to his brother [Allen]. On the other hand, [Arthur] and his brother [Carl] had n't spoken in years. [Robin]'s daughter Paula went to law school. Paula's brother [Carl] ended up working in a fast food restaurant. [Arthur]'s mother, [Robin], was worried about him. He had n't been eating.","('Allen', 'Carl')",brother,brother-brother
44,"[Darnell]'s father [Henry] and grandfather [Kyle] went to the park to play chess. [Darnell] is going to the arcade with his sister, [Amanda]. [Amanda] asked [Kyle], her grandfather, for some candy.","('Henry', 'Kyle')",father,son-grandfather
45,"[Arthur] asked his aunt [Shirley] what college he should attend. [Robin] visited her son [Arthur] at college. [Robin] went out to dinner with her sister [Shirley], and [Shirley]'s daughter [Margaret].","('Robin', 'Margaret')",niece,sister-daughter
46,"[Karen] was very proud of her son, [Vernon]. She did n't feel the same way about his brother, [Edward], she thought he was a disgrace. [Karen] dotes on her son [Edward]. Because of this, [Edward] is pretty spoiled. Everyone said [Ronald] looked just like his father, [Edward]. They had the same build, facial features, and even combed their hair in a similar style.","('Karen', 'Ronald')",grandson,son-son
47,"[Robin] dotes on her son [Carl]. Because of this, [Carl] is pretty spoiled. [Arthur] looked up to his older brother named [Carl]. [Carl] was very strong and quite brave and that's the reason [Arthur] admires him. [Robin] dotes on her son [Arthur]. Because of this, [Arthur] is pretty spoiled. [Michael] asked his mom [Robin] if she would bake him a cake. [Robin] told him she would n't, because [Michael] was getting fat and did n't need the extra calories.","('Michael', 'Carl')",brother,mother-son
48,"[Theresa] likes going to the mall with her aunt [Raquel]. [Theresa] and her brother [Vernon] played tennis together. [Theresa]'s sister [Robin] has an injured leg and watched instead. [Vernon] is raising his daughter, [Raquel] all by himself.","('Vernon', 'Robin')",sister,sister-sister
49,[Margaret] and her brother [Casey] gave gift to their mother [Shirley] [Shirley] likes to cut the hair of her daughter [Constance]. [Constance]'s sister [Margaret] went to beauty school and taught them all how to cut hair expertly.,"('Casey', 'Margaret')",sister,mother-daughter
50,"[Allen] called his brother [Michael] on the phone. He wanted to go out for some beers. [Eric] took his son [Michael] for boxing lessons. He felt the boy needed to toughen up. [Arthur] needed his brother, [Michael], to help with a problem [Eric] was proud of his son, [Arthur].","('Eric', 'Allen')",son,son-brother
51,"[Patty]'s sister [Dorothy] informed her than [Patty]'s grandmother [Karen] had slipped in the kitchen and injured her ankle. [Patty] was excited for today, its her daughter's, [Kristen], spring break. She will finally get to see her. [Dorothy] was celebrating her birthday with her mother [Kristen].","('Dorothy', 'Karen')",grandmother,sister-grandmother
52,"[Theresa]'s sister, [Robin], recently started acting. [Sarah] misses her father [Edward] when she is at school. [Edward]'s sister, [Robin], participated in the dance contest. [Edward] and his sister [Theresa] are going for a walk.","('Sarah', 'Theresa')",aunt,father-sister
53,"[Carl] loves his grandma, [Karen] very much. He frequently visits [Karen] and her husband, [Kyle], at their house. [Carl] and his brother [Michael] are excited to go fishing this weekend. [Karen] is letting her grandson [Michael] borrow her fishing rod.","('Kyle', 'Carl')",grandson,wife-grandson
54,"[Karen] and her daughter [Kristen] went to church. They were both very religious. [Karen] was so excited to learn that her son [Eric] got accepted into college. [Eric] woke up and said hello to his wife, [Robin]. [Kristen] called her brother, [Eric], up to see how he was doing after surgery.","('Karen', 'Robin')",daughter-in-law,son-wife
55,"[Shirley]'s mother, [Karen], was feeling tired from hiking so [Shirley] asked her daughter [Constance] to get some water for [Karen]. [Shirley] had to pick her son [Casey] up from school because the schools' bus was broke down. [Casey] is one of [Constance]'s brothers. They have lots of fun together.","('Constance', 'Karen')",grandmother,mother-mother
56,"[Eric] was proud of his son, [Michael]. [Michael] went fishing with is uncle [Vernon] last weekend. [Allen] and his father [Eric] went to the golf course in town on Saturday and had a great time. [Michael] and his brother [Allen] went to the arcade. They had a wonderful time.","('Eric', 'Vernon')",brother,son-uncle
57,"[Eric] is proud of his son. His name is [Allen]. [Allen] and his brother [Michael] went to the arcade. They had a wonderful time. [Allen] and his brother, [Arthur], were fighting over a toy. [Michael], [Arthur]'s older brother, came by and took the toy, so neither of them were able to have it.","('Michael', 'Eric')",father,brother-father
58,"[Shirley] and her daughter [Constance] went out to dinner. [Constance] does n't like having to babysit her younger brother, [Casey]. [Constance] is looking for a good gift for her sister [Margaret]. [Margaret] does n't like her brother [Casey].","('Shirley', 'Casey')",son,daughter-brother
59,"[Theresa] could n't wait to get off the plane to see her mother, [Michelle]. [Michelle] and her sister [Amanda] played golf together. [Michelle] won easily. [Barry] was eating dinner with his wife [Amanda]. Suddenly, [Amanda] got a call from her mother, [Theresa].","('Barry', 'Theresa')",mother-in-law,wife-mother
60,"[Kristen]'s daughter, [Dorothy], just graduated high school. [Shirley] and her sister [Kristen] braided each other's hair before school. [Kyle] and his daughter [Kristen] go to the beach every year. They always have an amazing time. [Shirley] is teaching her niece, [Dorothy] how to bake a homemade apple pie.","('Kyle', 'Shirley')",daughter,daughter-sister
61,"[Kristen]'s daughter, [Dorothy], asked her mom to read her a story. [Robin] and [Kristen] are sisters who have one brother named [Vernon]. [Vernon] is a great uncle of [Dorothy].","('Kristen', 'Robin')",sister,brother-sister
62,"[Karen] took her son [Henry] to the park. [Kristen] was mad at her brother [Henry], because [Henry] had called her fat. [Kristen] wanted to go shopping and she asked her mother [Karen] to go with her. She then decided to ask her sister [Theresa] to go too.","('Theresa', 'Karen')",mother,sister-mother
63,[Arthur] and his brother [Allen] just talked on the phone for the first time in years. [Robin] had to pick her son [Allen] up from school because the schools' bus was broke down. [Lisa]'s husband [Arthur] got into an argument with his mother [Robin] again. It always makes her uncomfortable.,"('Lisa', 'Robin')",mother-in-law,husband-mother
64,[Patty] and her brother [Sarah] were playing outside when her father [Edward] came out to say they should come in before it rains. [Lonnie] was very nervous talking with his wife [Sarah]. He was so nervous because he was going to meet [Sarah]'s father [Edward] for the first time.,"('Lonnie', 'Edward')",father-in-law,wife-father
65,"[Shirley] went to the grocery store to get a snack for her son [Casey]. While there, [Shirley]'s daughter, [Raquel], called and asked her to get milk too. [Raquel] was on the phone with her brother [Casey] earlier. [Casey] had his grandfather [Kyle] over for Lunch.","('Raquel', 'Kyle')",grandfather,brother-grandfather
66,"[Kyle] and his wife [Karen] were having a disagreement over finances. [Karen] thought [Kyle] was n't getting paid enough and needed to find a new job. [Karen] loves cooking for her son. His name is [Eric]. [Eric]'s brother, [Vernon], recently got elected as a senator. [Karen] likes taking her son [Vernon] to school.","('Kyle', 'Eric')",son,wife-son
67,[Sarah] and her sister [Dorothy] braided each other's hair before school. [Edward] is taking his daughter [Sarah] out for lunch. [Edward] has a daughter named [Dorothy] who visits him every Sunday for dinner. [Edward] needed someone to help him move out of his dorm last May. He asked his brother [Vernon] and he said he would help him.,"('Vernon', 'Sarah')",niece,brother-daughter
68,"[Robin] and her brother [Edward] were having a wonderful time at Disneyland. [Carl] was so excited to give his mother, [Robin], a really nice card for Mother's Day. He loves her very much. [Allen]'s brother [Carl] and mother [Robin] met him early in the morning before his college graduation.","('Carl', 'Edward')",uncle,mother-brother
69,"[Eric] told his wife, [Robin], that her son, [Michael], had been misbehaving. [Robin] said she'd take care of the situation. [Kristen] went with her nephew [Michael] to pick out a pet puppy for his birthday. [Eric] went to the baseball game with his son [Michael]","('Eric', 'Kristen')",sister,son-aunt
70,"[Eddie] and his sister [Amanda] got their mother [Amanda] a new computer for her birthday. She really liked it. [Amanda]'s father is named [Henry]. [Henry] is taking his son [Eddie] on a camping trip for the weekend. [Henry] went to the store with his brother, [Vernon].","('Eddie', 'Vernon')",uncle,father-brother
71,"[Dorothy] called her grandfather [Kyle] on the phone, and asked if he would be visiting her soon. [Kyle] told her he'd be over tomorrow. [Kyle] visited his daughter, [Kristen], for Christmas this year. [Dorothy] was sewing a sweater for her sister [Patty]. [Kristen] took her daughter [Dorothy] to see a movie on Friday. She let her pick the movie and she enjoyed it very much.","('Patty', 'Kyle')",grandfather,sister-grandfather
72,[Margaret] and her mother [Shirley] went to volunteer at the homeless shelter last weekend. [Raquel] and her sister [Margaret] were getting together this weekend so that they could go hiking together they had n't spent time together alone in a while. [Raquel] and her mother [Shirley] attended a play at the theater. [Drew] loves to dance with his wife. Her name is [Raquel].,"('Shirley', 'Drew')",son-in-law,daughter-husband
73,"[Kyle] took his granddaughter, [Raquel], to see a movie. [Raquel]'s sister [Margaret] cried because she could not go. [Shirley] wants to make a special meal for her daughter [Margaret]'s birthday. [Margaret] called her grandfather [Kyle] on the phone, and asked if he would be visiting her soon. [Kyle] told her he'd be over tomorrow.","('Shirley', 'Kyle')",father,daughter-grandfather
74,"[Raquel] and her mother [Shirley] had a coffee date, and [Raquel]'s sister [Margaret] showed up in the middle of it. [Kyle] was proud to attend [Shirley]'s graduation. He was very proud to have raised her into a successful young adult. [Margaret] was excited for today, its her daughter's, [Shirley], spring break. She will finally get to see her.","('Kyle', 'Margaret')",granddaughter,daughter-daughter
75,[Kristen] and her daughter [Patty] went out for ice cream. [Kristen] got a cone and [Patty] got a sundae. [Edward] took his wife [Kristen] out on a date last weekend. [Edward] walked his daughters [Patty] and [Sarah] to school.,"('Sarah', 'Patty')",sister,father-daughter
76,"[Karen] and her husband [Kyle] went to a resort for the weekend, and had a wonderful time. [Kyle]'s grandson, [Carl], was busy planning a birthday dinner for his brother, [Michael]. [Michael] went his grandfather [Kyle] to the park to look for birds.","('Karen', 'Michael')",grandson,husband-grandson
77,"[Eddie] went to the grocery store for his brother [Darnell], because he broke his leg. [Michelle] and her father, [Henry], went to the carnival. [Henry] took [Michelle] on the Tilt-o-Whirl. [Eddie] and his father [Henry] went jogging by the lake. [Henry] was delighted to watch his son [Darnell] steal third base in the Championship baseball game.","('Michelle', 'Eddie')",brother,father-son
78,"[Carl] did n't want to take a trip with his father [Eric], so instead he went on a trip with his loving wife [Barbara]. [Carl] went to the baseball game with his brother [Allen]. [Allen] went to the park with his father, [Eric].","('Barbara', 'Eric')",father-in-law,husband-father
79,"[Shirley] went on a fishing trip with her youngest child, [Casey], and her brother [Eric]. [Shirley] is married to Thomas and when she was 24, the couple welcomed [Raquel] into the world. [Casey]'s sister [Raquel] asked him for some help planting her garden.","('Eric', 'Casey')",nephew,sister-son
80,[Karen] baked cookies for her grandson [Darnell]. [Henry] watched his daughter [Amanda] playing basketball. [Amanda] threw the ball to her brother [Darnell] who made the basket. [Darnell]'s father [Henry] is going to coach the team this year.,"('Henry', 'Karen')",mother,son-grandmother
81,"[Ronald] took his sister [Patty] to the movies with him to see the new Star Wars film. [Ronald] loves to play baseball with his dad, [Edward]. [Dorothy] is the proud daughter of [Edward]. [Dorothy] also has a brother named [Ronald].","('Edward', 'Patty')",daughter,son-sister
82,"[Vernon] took his daughter [Constance] to see a movie. [Constance]'s sister [Margaret] was sad because she was grounded and was not allowed to go. [Shirley] bought a Valentines day gift for her husband [Vernon] and also got him a card. [Vernon] bought his daughter, [Margaret], flowers.","('Shirley', 'Margaret')",daughter,husband-daughter
83,The hostess called out [Vernon]'s name and [Margaret] told her father their table was ready. [Margaret] loves to visit her Uncle [Henry] on his farm. [Vernon] was angry with his brother [Henry] for forgetting to pick him up from school. [Shirley] wants to make a special meal for her daughter [Margaret]'s birthday.,"('Shirley', 'Henry')",brother,daughter-uncle
84,"[Kyle] and his son [Henry] went to the skating rink. [Henry] and his son [Eddie] went to the skating rink. [Henry] took his daughter, [Michelle], to the Cavaliers game on Saturday. [Kyle] took his granddaughter [Michelle] to the movies yesterday and they got popcorn and candy before the movie starated.","('Eddie', 'Kyle')",grandfather,father-father
85,[Vernon] took his son [Casey] fishing one day and [Vernon]'s wife [Shirley] packed them food to take with them. [Karen] made cookies with her daughter [Shirley]. [Shirley]'s son [Casey] ate all of the cookies.,"('Karen', 'Casey')",grandson,daughter-son
86,"[Amanda] got accepted into her dream college. Her father [Henry] could not be any prouder. [Karen] loves to make cookies for her son. His name is [Henry]. [Henry]'s wife, [Theresa], went to the library with her daughter, [Amanda].","('Karen', 'Amanda')",granddaughter,son-daughter
87,[Kristen] is a woman with a sister named [Shirley]. [Shirley] took her daughter [Raquel] to see her very first ballet performance. [Kristen] and [Shirley] are sisters who have one brother named [Henry].,"('Raquel', 'Kristen')",aunt,mother-sister
88,"[Sarah] does n't like having to babysit her younger brother, [Ronald]. [Ronald] asked his sister [Patty] to help him with his math homework. [Patty] was n't sure what to do, so she asked her sister [Sarah] for some help. [Ronald]'s mother [Kristen] wanted to surprise him for his birthday, so she baked him a cake.","('Sarah', 'Kristen')",mother,brother-mother
89,"[Casey] is estranged from his mother, [Shirley]. His sister [Constance] has tried to convince him to forgive [Shirley], but [Casey] refuses. [Shirley]'s father, [Kyle], took her to the bowling alley. [Shirley]'s daughter, [Constance], joined them because bowling was her favorite hobby.","('Constance', 'Kyle')",grandfather,mother-father
90,"[Arthur] invited his grandmother, [Karen], and his brother, [Carl], to a live concert at the fairgrounds. [Michael] was playing football with his brother, [Arthur]. [Michael]'s brother, [Carl], had a broken leg and could only watch.","('Carl', 'Karen')",grandmother,brother-grandmother
91,"[Margaret] and her grandmother, [Karen], spend a lot of time together, just talking. They're kindred spirits. [Shirley] and her daughter [Margaret] are entering the competition together. [Karen] braided the hair of her granddaughter [Raquel]. [Raquel]'s sister [Margaret] was hoping she would be next.","('Shirley', 'Karen')",mother,daughter-grandmother
92,[Eric] took his son [Michael] fishing one day and [Eric]'s wife [Robin] packed them food to take with them. [Eric] made a sandwich for his son [Arthur]. [Arthur]'s brother [Michael] ate an apple instead.,"('Robin', 'Michael')",son,husband-son
93,"[Eddie] was having an argument with her sister, [Michelle]. [Michelle] is so proud that [Henry], his father, quit smoking. [Henry] was playing catch with his son, [Darnell]. [Michelle] imitated her brother throwing the ball back and forth.","('Eddie', 'Henry')",father,sister-father
94,[Theresa] visited her son [Darnell] at college. [Theresa] went on a vacation with her brother [Eric]. [Edward] and his sister [Theresa] went to the park. [Darnell] went fishing with is uncle [Eric] last weekend.,"('Edward', 'Eric')",brother,sister-brother
95,[Theresa] could n't wait to pick up her husband [Henry] at the airport. [Henry] asked his sister [Shirley] if she would pick up his son [Eddie] after school. [Theresa] loves cooking for her son. His name is [Eddie].,"('Shirley', 'Eddie')",nephew,brother-son
96,[Edward] has a son named [Ronald] that looks exactly like him. [Edward] 'daughter [Sarah] was a beautiful women. [Sarah] also adored her father [Edward] [Karen] took her son [Edward] shopping for new school clothes. They had a good time. [Ronald] is one of [Sarah]'s brothers. They have lots of fun together.,"('Sarah', 'Karen')",grandmother,father-mother
97,"[Edward] always saw his daughter, [Patty], as the apple of his eye. [Benny] went to visit his sister [Patty]. But [Patty] was already hanging out with [Kyle] which is [Benny]'s grandfather. [Edward] is proud of his son. His name is [Benny].","('Kyle', 'Patty')",granddaughter,grandson-sister
98,"[Darnell]'s sister, [Michelle], did n't have time to play with him. She was busy helping her grandmother [Karen] with the dishes. [Karen] loved when her grandson [Darnell] came to visit her after school. [Eddie] needed his brother, [Darnell], to help with a problem","('Eddie', 'Karen')",grandmother,brother-grandmother
99,"[Amanda] asked her sister, [Michelle], if she could help her move some boxes for [Amanda]'s grandmother, [Karen]. [Theresa] and her daughter [Amanda] went to visit [Theresa]'s mother [Karen] last Sunday.","('Michelle', 'Karen')",grandmother,sister-grandmother
100,[Henry] went to the parade with his wife [Theresa] and his son [Eddie]. [Henry] was happy that his son [Darnell] was doing well in college. [Eddie] and his brother [Darnell] went to the park. They threw a ball around and played with their dog.,"('Theresa', 'Eddie')",son,husband-son
101,"[Kyle] took his daughter [Kristen] to school on his way to work. He called [Karen], his wife, to let her know that he got to work. Everyone said [Vernon] looked just like his father, [Kyle]. They had the same build, facial features, and even combed their hair in a similar style. [Kristen] and her brother [Vernon] sat down together to clip coupons.","('Karen', 'Kristen')",daughter,husband-daughter
102,"[Robin] took her son, [Michael], to go get baked goods from the local bakery. [Robin] liked to play hide and seek with her son [Carl]. [Robin] fucked her husband, [Eric]. long and dirty. [Carl] went to the baseball game with his brother [Michael].","('Eric', 'Michael')",son,wife-son
