id,story,query,target,parse,gender,f_comb
139,[Edward] played chess with his son [Benny]. [Benny]'s wife [Dorothy] watched in amazement. [Edward] has a great father relationship with the beautiful [Patty]. [Patty] loves to watch stand up comedy with her brother. His name is [Benny].,"('Dorothy', 'Edward')",father-in-law,"son(""Edward"", ""Benny""). father(""Benny"", ""Edward""). wife(""Benny"", ""Dorothy""). husband(""Dorothy"", ""Benny""). daughter(""Edward"", ""Patty""). father(""Patty"", ""Edward""). brother(""Patty"", ""Benny""). sister(""Benny"", ""Patty"").",,husband-father
153,"[Barbara] and her husband [Carl] had their 20th wedding anniversary Saturday. [Arthur] invited his sister [Barbara] out to watch the meteor shower. [Robin] gave her son, [Arthur], blankets for them to sit on and snacks to eat while they watched the meteors. [Barbara] adores her daughter [Robin]. [Robin] loves her very much, too.","('Robin', 'Carl')",son-in-law,"husband(""Barbara"", ""Carl""). wife(""Carl"", ""Barbara""). sister(""Arthur"", ""Barbara""). brother(""Barbara"", ""Arthur""). mother(""Arthur"", ""Robin""). son(""Robin"", ""Arthur""). mother(""Barbara"", ""Robin""). daughter(""Robin"", ""Barbara"").",,daughter-husband
180,[Theresa] cooked her son [Darnell] his favorite meal yesterday because it was his birthday. [Theresa] picked up her daughter [Michelle] from school early. [John] takes his wife [Michelle] out for their anniversary. [Darnell] and her sister [Michelle] decided to take a trip to Mexico together.,"('John', 'Theresa')",mother-in-law,"mother(""Darnell"", ""Theresa""). son(""Theresa"", ""Darnell""). daughter(""Theresa"", ""Michelle""). mother(""Michelle"", ""Theresa""). wife(""John"", ""Michelle""). husband(""Michelle"", ""John""). sister(""Darnell"", ""Michelle""). brother(""Michelle"", ""Darnell"").",,wife-mother
192,[Eric] and his daughter [Barbara] went to Disney World together. [Robin] and her daughter [Barbara] went to church. They were both very religious. [Eric] has been with [Robin] for 10 years. [Robin] has been married for two years. [Eric] and his brother [Henry] went to the arcade. They had a wonderful time.,"('Henry', 'Barbara')",niece,"daughter(""Eric"", ""Barbara""). father(""Barbara"", ""Eric""). mother(""Barbara"", ""Robin""). daughter(""Robin"", ""Barbara""). partner(""Eric"", ""Robin""). partner(""Robin"", ""Eric""). brother(""Eric"", ""Henry""). brother(""Henry"", ""Eric"").",,brother-daughter
198,"[Kristen]'s daughter, [Patty], asked her mom to read her a story. [Robin] invited her sisters, [Kristen] and [Theresa], to a party. [Kristen] needed to go to the store. [Kristen] asked her sister [Theresa] for a ride.","('Theresa', 'Patty')",niece,"daughter(""Kristen"", ""Patty""). mother(""Patty"", ""Kristen""). sister(""Robin"", ""Kristen""). sister(""Kristen"", ""Robin""). sister(""Robin"", ""Theresa""). sister(""Theresa"", ""Robin""). sister(""Kristen"", ""Theresa""). sister(""Theresa"", ""Kristen"").",,sister-daughter
201,[Kristen] and her son [Benny] go with [Patty] to the baseball game. [Patty] took a cooking class with her father in law Ted. Ted said she was a natural and recommended that she begin cooking for his son [Jeffery]. [Patty] and her mother [Kristen] went dress shopping on Saturday.,"('Kristen', 'Jeffery')",son-in-law,"son(""Kristen"", ""Benny""). mother(""Benny"", ""Kristen""). father-in-law(""Patty"", ""Ted""). daughter-in-law(""Ted"", ""Patty""). son(""Ted"", ""Jeffery""). father(""Jeffery"", ""Ted""). mother(""Patty"", ""Kristen""). daughter(""Kristen"", ""Patty"").",,daughter-husband
207,"[Theresa] and her daughter [Michelle] went shopping together last Monday and they bought new shoes for [Theresa]'s kids. [Barry]'s mother [Theresa] was present at the thanksgiving service. [Amanda] bought a Valentines day gift for her husband [Barry] and also got him a card. [Barry] wanted to get a good gift for his sister, [Michelle]","('Amanda', 'Theresa')",mother-in-law,"daughter(""Theresa"", ""Michelle""). mother(""Michelle"", ""Theresa""). son(""Theresa"", ""Barry""). mother(""Barry"", ""Theresa""), husband(""Amanda"", ""Barry""). wife(""Barry"", ""Amanda""). sister(""Barry"", ""Michelle""). brother(""Michelle"", ""Barry"").",,husband-mother
214,"[Robin] took her daughter, [Barbara], to lunch. [Karen] is ready to dye Easter eggs with [Robin]! [Robin] and her daughter [Lisa] were on vaction. [Lisa] was talking about food with her sister [Barbara].","('Lisa', 'Karen')",grandmother,"daughter(""Robin"", ""Barbara""). mother(""Barbara"", ""Robin""). daughter(""Robin"", ""Lisa""). mother(""Lisa"", ""Robin""). sister(""Lisa"", ""Barbara""). sister(""Barbara"", ""Lisa"").",,mother-mother
218,"[Karen] loved to care for her newborn child [Edward]. [Theresa]'s mom, [Karen], has recently taken art classes. [Shirley] and her sister [Theresa] were fighting. They never fight long though, and they made up the next day. [Karen] took her daughter [Shirley] to see her very first ballet performance.","('Theresa', 'Edward')",brother,"mother(""Edward"", ""Karen""), child(""Karen"", ""Edward""). mother(""Theresa"", ""Karen""), daughter(""Karen"", ""Theresa""). sister(""Shirley"", ""Theresa""), sister(""Theresa"", ""Shirley""). daughter(""Karen"", ""Shirley""), mother(""Shirley"", ""Karen"").",,mother-son
232,"[Edward] and his son, [Benny], went deer hunting. [Benny]'s wife, [Dorothy], came along just to watch. [Benny] called his brother [Ronald] on Friday because it was his birthday. [Ronald]'s father, [Edward], bought him some ice cream.","('Dorothy', 'Edward')",father-in-law,"son(""Edward"", ""Benny""). father(""Benny"", ""Edward""). wife(""Benny"", ""Dorothy""). husband(""Dorothy"", ""Benny""). brother(""Benny"", ""Ronald""). brother(""Ronald"", ""Benny""). father(""Ronald"", ""Edward"").",,husband-father
242,"[Theresa] went shopping with her son. His name is [Barry]. [Barry] is a very hot guy, but his sister [Michelle] is even more attractive. [Michelle] was making cookies for her husband [John], and a cake for her mother [Theresa].","('John', 'Theresa')",mother-in-law,"son(""Theresa"", ""Barry""). mother(""Barry"", ""Theresa""). sister(""Barry"", ""Michelle""). brother(""Michelle"", ""Barry""). husband(""Michelle"", ""John""). wife(""John"", ""Michelle""). daughter(""Theresa"", ""Michelle"").",,wife-mother
248,"[Theresa] asked her son [Barry] to take her car to get the oil changed and he said he would be there around 2 o'clock. [Barry] has always felt ignored in his big family. His brother [Eddie] always got all the attention of their parents, who recounted his every accomplishment to all the household. [Barry] and [Darnell] are brothers who look nothing alike. [Theresa] took her son [Eddie] to the park for the afternoon.","('Darnell', 'Eddie')",brother,"son(""Theresa"", ""Barry""). mother(""Barry"", ""Theresa""). brother(""Barry"", ""Eddie""). brother(""Eddie"", ""Barry""). sibling(""Barry"", ""Darnell""). sibling(""Darnell"", ""Barry""). son(""Theresa"", ""Eddie""). mother(""Eddie"", ""Theresa"").",,brother-brother
254,"[Theresa] was so proud of her daughter [Michelle] for getting straight A's this semester. [Eddie] is a man with a wife named [Verdie]. [Eddie] always enjoyed playing with his sister, [Michelle], when they were growing up. [Theresa] is so happy for her son. Her son [Eddie] just joined the Army.","('Verdie', 'Theresa')",mother-in-law,"daughter(""Theresa"", ""Michelle""). mother(""Michelle"", ""Theresa""). husband(""Eddie"", ""Verdie""). wife(""Verdie"", ""Eddie""). sister(""Eddie"", ""Michelle""). brother(""Michelle"", ""Eddie""). son(""Theresa"", ""Eddie"").",,husband-mother
257,"[Robin]'s brother [Vernon] joined the Army. While he was overseas, he left his daughter, [Constance], in [Robin]'s care. [Robin] kept picking on her sister [Kristen]. [Kristen] was so upset, she asked her brother [Vernon] for some help.","('Robin', 'Constance')",niece,"brother(""Robin"", ""Vernon""). sister(""Vernon"", ""Robin""). daughter(""Vernon"", ""Constance""). father(""Constance"", ""Vernon""). caregiver(""Constance"", ""Robin""). sister(""Robin"", ""Kristen""). sister(""Kristen"", ""Robin""). brother(""Kristen"", ""Vernon""). sister(""Vernon"", ""Kristen"").",,brother-daughter
260,"[Dionne] and her mother [Kristen] had a coffee date, and [Dionne]'s sister [Patty] showed up in the middle of it. [Kristen] took her daughter [Patty] to the mall. [Jeffery], [Patty]'s husband, stayed in the car.","('Kristen', 'Jeffery')",son-in-law,"mother(""Dionne"", ""Kristen""). daughter(""Kristen"", ""Dionne""). sister(""Dionne"", ""Patty""). brother(""Patty"", ""Dionne""). daughter(""Kristen"", ""Patty""). mother(""Patty"", ""Kristen""). husband(""Patty"", ""Jeffery""). wife(""Jeffery"", ""Patty"").",,daughter-husband
275,"[Allen] took his mother, [Robin], and his sister, [Barbara], to the store. [Carl] and his wife, [Barbara], were eating dinner. [Robin], [Barbara]'s mother, had prepared them a delicious meal.","('Carl', 'Robin')",mother-in-law,"mother(""Allen"", ""Robin""). son(""Robin"", ""Allen""). sister(""Allen"", ""Barbara""). brother(""Barbara"", ""Allen""). wife(""Carl"", ""Barbara""). husband(""Barbara"", ""Carl""). mother(""Barbara"", ""Robin"").",,wife-mother
280,"[Eric] met up with his sister [Kristen] and her daughter [Dionne] at the mall to go shopping together. [Kristen] 'son, [Benny] wanted to go to the store. He asked his sister, [Dionne] if she wanted to go too.","('Eric', 'Dionne')",niece,"sister(""Eric"", ""Kristen""). brother(""Kristen"", ""Eric""). daughter(""Kristen"", ""Dionne""). mother(""Dionne"", ""Kristen""). son(""Kristen"", ""Benny""). mother(""Benny"", ""Kristen""). sister(""Benny"", ""Dionne""). brother(""Dionne"", ""Benny"").",,sister-daughter
293,[Robin] and her sister [Theresa] went to see [Robin]'s daughter [Marlene] and took her a bottle of wine as a gift. [Marlene] got accepted into her dream college. Her father [Eric] could not be any prouder. [Theresa] was more than happy to help her sister by watching her child [Marlene].,"('Eric', 'Theresa')",sister,"sister(""Robin"", ""Theresa""). sister(""Theresa"", ""Robin""). daughter(""Robin"", ""Marlene""). mother(""Marlene"", ""Robin""). father(""Marlene"", ""Eric""). daughter(""Eric"", ""Marlene"")",,daughter-aunt
295,"[Henry] has a great father relationship with the beautiful [Michelle]. [Barry]'s sister, [Michelle], bought movie tickets at a discount rate. [Henry] is proud of his son. His name is [Barry]. [Amanda] and her husband [Barry] are planning to go to Hawaii. They're hoping to have a wonderful time there.","('Amanda', 'Henry')",father-in-law,"father(""Michelle"", ""Henry""). daughter(""Henry"", ""Michelle""). sister(""Barry"", ""Michelle""). brother(""Michelle"", ""Barry""). son(""Henry"", ""Barry""). father(""Barry"", ""Henry""). husband(""Amanda"", ""Barry""). wife(""Barry"", ""Amanda"").",,husband-father
314,"[Barry] took his sister [Michelle] out to dinner for her birthday. [Henry] is happy that his daughter is doing so well. Her name is [Michelle]. [Michelle] and [John] were shopping in the department store for clothes for their kids. Both of them needed to use the bathroom. They found the restroom signs, and [John] identified the male sign and went into the male bathroom. [Michelle] than identified the female sign on the stahl, and went to the bathroom there. [Barry] asked his father, [Henry], to help him with his math homework. [Henry] could n't, because he was lousy at math himself.","('John', 'Henry')",father-in-law,"brother(""Barry"", ""Michelle""). sister(""Michelle"", ""Barry""). daughter(""Henry"", ""Michelle""). father(""Michelle"", ""Henry""). wife(""Michelle"", ""John""). husband(""John"", ""Michelle""). son(""Henry"", ""Barry""). father(""Barry"", ""Henry"").",,wife-father
328,"[Lonnie] is married to a special woman. Her name is [Sarah]. [Lonnie] and his sister, [Patty], went shopping. [Patty] asked her mom [Kristen] if she wanted anything, but [Kristen] said no. [Lonnie] is son of [Kristen].","('Sarah', 'Kristen')",mother-in-law,"husband(""Lonnie"", ""Sarah""). wife(""Sarah"", ""Lonnie""). sister(""Lonnie"", ""Patty""). brother(""Patty"", ""Lonnie""). mother(""Patty"", ""Kristen""). daughter(""Kristen"", ""Patty""). son(""Kristen"", ""Lonnie"").",,husband-mother
332,[Dionne] loved her mother [Kristen]. She was heartbroken when she heard [Kristen] had suddenly passed away. [Dionne] went with her husband [Ronald] to get a nice dinner for their anniversary. [Kristen] was furious. The house was a wreck and she knew it was her son [Lonnie]'s fault. His sister [Dionne] would never be this messy.,"('Ronald', 'Kristen')",mother-in-law,"mother(""Dionne"", ""Kristen""), daughter(""Kristen"", ""Dionne""), husband(""Dionne"", ""Ronald""), wife(""Ronald"", ""Dionne""), son(""Kristen"", ""Lonnie""), mother(""Lonnie"", ""Kristen""), sister(""Lonnie"", ""Dionne""), brother(""Dionne"", ""Lonnie"").",,wife-mother
336,"[Robin], her daughter, [Barbara], and [Barbara]'s husband, [Carl], all went to the theater to see a play. The women had a good time but [Carl] was bored. [Robin]'s daughter Paula went to law school. Paula's brother [Allen] ended up working in a fast food restaurant. [Allen] and his sister [Barbara] took their father out to eat for his birthday. They had a great time.","('Robin', 'Carl')",son-in-law,"daughter(""Robin"", ""Barbara""), mother(""Barbara"", ""Robin""), husband(""Barbara"", ""Carl""), wife(""Carl"", ""Barbara""), daughter(""Robin"", ""Paula""), mother(""Paula"", ""Robin""), brother(""Paula"", ""Allen""), sister(""Allen"", ""Paula""), sister(""Allen"", ""Barbara""), brother(""Barbara"", ""Allen""), father(""unknown"", ""Allen"").",,daughter-husband
340,"[James] is the great aunt of the marvelous [Kristen]. [Stacy] was worried about her graduation party. Her mother [Shirley] had turned up earlier that day, but her brother [James] was still missing. [Shirley] liked to play hide and seek with her son [James].","('Shirley', 'Kristen')",sister,"great_aunt(""Kristen"", ""James""). daughter(""Shirley"", ""Stacy""). mother(""Stacy"", ""Shirley""). son(""Shirley"", ""James""). mother(""James"", ""Shirley""). brother(""Stacy"", ""James""). sister(""James"", ""Stacy"").",,son-aunt
354,"[Patty] and her mother [Kristen] went to volunteer at the homeless shelter last weekend. [Kristen] took her sister [Shirley] out for dinner to celebrate her birthday. [Henry] is in the same grade as his sister [Shirley], but his sister [Kristen] is 2 years ahead of him.","('Shirley', 'Patty')",niece,"mother(""Patty"", ""Kristen""). daughter(""Kristen"", ""Patty""). sister(""Kristen"", ""Shirley""). sister(""Shirley"", ""Kristen""). sister(""Henry"", ""Shirley""). brother(""Shirley"", ""Henry""). sister(""Henry"", ""Kristen""). brother(""Kristen"", ""Henry"").",,sister-daughter
360,"[Christine] and her father [Henry] went to the park. They had a wonderful time there, feeding the ducks. [Barry] went to the park with his father, [Henry]. [Barry] liked to play games with his sister, [Christine]. [Amanda] and her husband [Barry] went to church. They were religious, and tried to go every Sunday.","('Amanda', 'Henry')",father-in-law,"father(""Christine"", ""Henry""), daughter(""Henry"", ""Christine""), father(""Barry"", ""Henry""), son(""Henry"", ""Barry""), sister(""Christine"", ""Barry""), brother(""Barry"", ""Christine""), husband(""Amanda"", ""Barry""), wife(""Barry"", ""Amanda"").",,husband-father
370,"[Michelle] and her mother [Theresa] attended a play at the theater. [Henry] and his brother, [Edward], went out to dinner. [Henry] talked about his daughter, [Michelle],'s play at school. [Henry] and his wife, [Theresa], just celebrated 10 years of marriage.","('Edward', 'Michelle')",niece,"mother(""Michelle"", ""Theresa""). daughter(""Theresa"", ""Michelle""). brother(""Henry"", ""Edward""). brother(""Edward"", ""Henry""). daughter(""Henry"", ""Michelle""). father(""Michelle"", ""Henry""). wife(""Henry"", ""Theresa""). husband(""Theresa"", ""Henry"").",,brother-daughter
373,"[Lisa] loved her mother [Robin]. She was heartbroken when she heard [Robin] had suddenly passed away. [Robin]'s daughter, [Marlene], just graduated high school. [Karen] is a girl with a grandmother named [Marlene]. [Marlene] and her sister [Lisa] are the only children in their family.","('Lisa', 'Karen')",grandmother,"mother(""Lisa"", ""Robin""). daughter(""Robin"", ""Lisa""). daughter(""Robin"", ""Marlene""). mother(""Marlene"", ""Robin""). grandmother(""Karen"", ""Marlene""). granddaughter(""Marlene"", ""Karen""). sister(""Marlene"", ""Lisa""). sister(""Lisa"", ""Marlene"").",,sister-grandmother
378,"[Edward] has been a lovely father of [Benny] and has a wife named [Kristen] who is always there for him. [Kristen]'s sister, [Robin], does not get along very well with [Kristen]'s son, [Benny].","('Robin', 'Benny')",nephew,"father(""Edward"", ""Benny""). son(""Edward"", ""Benny""). wife(""Edward"", ""Kristen""). husband(""Kristen"", ""Edward""). sister(""Kristen"", ""Robin""). son(""Kristen"", ""Benny""). mother(""Benny"", ""Kristen"").",,sister-son
387,"[Theresa] went out to dinner with her sister [Kristen], and [Kristen]'s daughter [Patty]. [Patty]'s father [Edward] is taking her to a movie because she got good grades. [Kristen] and her husband [Edward] celebrated their anniversary last night. They went out to a nice restaurant to celebrate.","('Theresa', 'Patty')",niece,"sister(""Theresa"", ""Kristen""). sister(""Kristen"", ""Theresa""). daughter(""Kristen"", ""Patty""). mother(""Patty"", ""Kristen""). father(""Patty"", ""Edward""). husband(""Kristen"", ""Edward""). wife(""Edward"", ""Kristen"").",,sister-daughter
407,[Carl] bought an expensive ring for his wife [Barbara]. [Marlene] and her sister [Barbara] were getting together this weekend so that they could go hiking together they had n't spent time together alone in a while. [Robin] was so proud of her daughter [Barbara] for getting straight A's this semester. [Marlene] called her mother [Robin] to let her know she will be back home soon.,"('Carl', 'Robin')",mother-in-law,"husband(""Barbara"", ""Carl""). wife(""Carl"", ""Barbara""). sister(""Marlene"", ""Barbara""). daughter(""Robin"", ""Barbara""). mother(""Barbara"", ""Robin""). mother(""Marlene"", ""Robin""). daughter(""Robin"", ""Marlene"").",,wife-mother
418,"[Vernon]'s daughter, [Stacy], was trying to get ready for a date. Unfortunately, her sister, [Raquel] kept getting in her way. [Edward] went his brother to pick up his brother's daughter [Raquel] from a birthday party. [Vernon] took her daughter [Raquel] for ice cream.","('Vernon', 'Edward')",brother,"daughter(""Vernon"", ""Stacy""). father(""Stacy"", ""Vernon""). sister(""Stacy"", ""Raquel""), sister(""Raquel"", ""Stacy""), daughter(""Vernon"", ""Raquel""). father(""Raquel"", ""Vernon""). brother(""Edward"", ""Edward's brother""), daughter(""Edward's brother"", ""Raquel"").",,daughter-uncle
421,"[Edward] gave his mother [Karen] flowers on her birthday. [Theresa] does n't always get along with her brother [Edward]. Sometimes they fight like siblings do. [Theresa] took her mother, [Karen], out for lunch. [Kristen] and her husband [Edward] went to church. They were religious, and tried to go every Sunday.","('Kristen', 'Karen')",mother-in-law,"mother(""Edward"", ""Karen""). son(""Karen"", ""Edward""). brother(""Theresa"", ""Edward""). sister(""Edward"", ""Theresa""). mother(""Theresa"", ""Karen""). daughter(""Karen"", ""Theresa""). husband(""Kristen"", ""Edward""). wife(""Edward"", ""Kristen"").",,husband-mother
425,"[Edward] was helping his daughter [Patty] with her homework at home. Afterwards, [Patty] and her sister [Dionne] played Xbox together. [Dionne] and her husband [Ronald] were having trouble with their marriage. They saw a marriage counselor and were able to patch things up. [Dionne] invited her father [Edward] to her high school father daughter dance.","('Edward', 'Ronald')",son-in-law,"daughter(""Edward"", ""Patty""). father(""Patty"", ""Edward""). sister(""Patty"", ""Dionne""). husband(""Dionne"", ""Ronald""). wife(""Ronald"", ""Dionne""). father(""Dionne"", ""Edward""). daughter(""Edward"", ""Dionne"").",,daughter-husband
431,"[Lisa] adores her daughter [Robin]. [Robin] loves her very much, too. [Theresa] loves her brother [Eric]. [Eric]'s wife, [Robin], was eager to start her new job. [Eric] 'daughter, [Lisa], just made it into grad school.","('Theresa', 'Lisa')",niece,"daughter(""Lisa"", ""Robin""). mother(""Robin"", ""Lisa""). brother(""Theresa"", ""Eric""). sister(""Eric"", ""Theresa""). wife(""Eric"", ""Robin""). husband(""Robin"", ""Eric""). daughter(""Eric"", ""Lisa""). father(""Lisa"", ""Eric"").",,brother-daughter
