id,story,query,target,parse,gender,f_comb,ans
20,"[Shirley] took her daughter [Margaret] to see her very first ballet performance. [Margaret] is one of my favorite students. She is the younger sister of [Casey], who I taught last year, [Casey] came to visit his wife [Stacy] for lunch today. [Casey] went to [Shirley]'s house for dinner.","('Stacy', 'Shirley')",mother-in-law,"daughter(""Shirley"", ""Margaret""). mother(""Margaret"", ""Shirley""). brother(""Margaret"", ""Casey""). sister(""Casey"", ""Margaret""). wife(""Casey"", ""Stacy""). husband(""Stacy"", ""Casey"").",,husband-mother,[]
31,"[Kristen] bought a new puppy for her son [Ronald]. This made [Ronald]'s sister [Sarah] extremely jealous. [Lonnie]'s wife, [Sarah], prepared a surprise dinner for the neighbors [Kristen] is ready to dye Easter eggs with [Sarah]!","('Lonnie', 'Kristen')",mother-in-law,"son(""Kristen"", ""Ronald""). mother(""Ronald"", ""Kristen""). sister(""Ronald"", ""Sarah""). brother(""Sarah"", ""Ronald""). wife(""Lonnie"", ""Sarah""). husband(""Sarah"", ""Lonnie"").",,wife-mother,[]
45,"[Arthur] asked his aunt [Shirley] what college he should attend. [Robin] visited her son [Arthur] at college. [Robin] went out to dinner with her sister [Shirley], and [Shirley]'s daughter [Margaret].","('Robin', 'Margaret')",niece,"aunt(""Arthur"", ""Shirley""). nephew(""Shirley"", ""Arthur""). son(""Robin"", ""Arthur""). mother(""Arthur"", ""Robin""). sister(""Robin"", ""Shirley""). sister(""Shirley"", ""Robin""). daughter(""Shirley"", ""Margaret""). mother(""Margaret"", ""Shirley"").",,sister-daughter,[]
59,"[Theresa] could n't wait to get off the plane to see her mother, [Michelle]. [Michelle] and her sister [Amanda] played golf together. [Michelle] won easily. [Barry] was eating dinner with his wife [Amanda]. Suddenly, [Amanda] got a call from her mother, [Theresa].","('Barry', 'Theresa')",mother-in-law,"daughter(""Theresa"", ""Michelle""). mother(""Michelle"", ""Theresa""). sister(""Amanda"", ""Michelle""). wife(""Barry"", ""Amanda""). husband(""Amanda"", ""Barry"").",,wife-mother,[]
63,[Arthur] and his brother [Allen] just talked on the phone for the first time in years. [Robin] had to pick her son [Allen] up from school because the schools' bus was broke down. [Lisa]'s husband [Arthur] got into an argument with his mother [Robin] again. It always makes her uncomfortable.,"('Lisa', 'Robin')",mother-in-law,"brother(""Arthur"", ""Allen""). sister(""Allen"", ""Arthur""). son(""Robin"", ""Allen""). mother(""Allen"", ""Robin""). husband(""Lisa"", ""Arthur""). wife(""Arthur"", ""Lisa""). mother(""Arthur"", ""Robin"").",,husband-mother,[]
64,[Patty] and her brother [Sarah] were playing outside when her father [Edward] came out to say they should come in before it rains. [Lonnie] was very nervous talking with his wife [Sarah]. He was so nervous because he was going to meet [Sarah]'s father [Edward] for the first time.,"('Lonnie', 'Edward')",father-in-law,"brother(""Patty"", ""Sarah""). father(""Patty"", ""Edward""). daughter(""Edward"", ""Patty""). wife(""Lonnie"", ""Sarah""). husband(""Sarah"", ""Lonnie""). father(""Sarah"", ""Edward"").",,wife-father,[]
67,[Sarah] and her sister [Dorothy] braided each other's hair before school. [Edward] is taking his daughter [Sarah] out for lunch. [Edward] has a daughter named [Dorothy] who visits him every Sunday for dinner. [Edward] needed someone to help him move out of his dorm last May. He asked his brother [Vernon] and he said he would help him.,"('Vernon', 'Sarah')",niece,"sister(""Sarah"", ""Dorothy""). sister(""Dorothy"", ""Sarah""). daughter(""Edward"", ""Sarah""). father(""Sarah"", ""Edward""). daughter(""Edward"", ""Dorothy""). father(""Dorothy"", ""Edward""). brother(""Edward"", ""Vernon""). brother(""Vernon"", ""Edward"").",,brother-daughter,[]
72,[Margaret] and her mother [Shirley] went to volunteer at the homeless shelter last weekend. [Raquel] and her sister [Margaret] were getting together this weekend so that they could go hiking together they had n't spent time together alone in a while. [Raquel] and her mother [Shirley] attended a play at the theater. [Drew] loves to dance with his wife. Her name is [Raquel].,"('Shirley', 'Drew')",son-in-law,"mother(""Margaret"", ""Shirley""). daughter(""Shirley"", ""Margaret""). sister(""Raquel"", ""Margaret""). mother(""Raquel"", ""Shirley""). daughter(""Shirley"", ""Raquel""). wife(""Drew"", ""Raquel""). husband(""Raquel"", ""Drew"").",,daughter-husband,[]
78,"[Carl] did n't want to take a trip with his father [Eric], so instead he went on a trip with his loving wife [Barbara]. [Carl] went to the baseball game with his brother [Allen]. [Allen] went to the park with his father, [Eric].","('Barbara', 'Eric')",father-in-law,"father(""Carl"", ""Eric""). son(""Eric"", ""Carl""). wife(""Carl"", ""Barbara""). husband(""Barbara"", ""Carl""). brother(""Carl"", ""Allen""). father(""Allen"", ""Eric""). son(""Eric"", ""Allen"").",,husband-father,[]
79,"[Shirley] went on a fishing trip with her youngest child, [Casey], and her brother [Eric]. [Shirley] is married to Thomas and when she was 24, the couple welcomed [Raquel] into the world. [Casey]'s sister [Raquel] asked him for some help planting her garden.","('Eric', 'Casey')",nephew,"child(""Shirley"", ""Casey""). mother(""Casey"", ""Shirley""). brother(""Shirley"", ""Eric""). sister(""Eric"", ""Shirley""). husband(""Shirley"", ""Thomas""). wife(""Thomas"", ""Shirley""). daughter(""Thomas"", ""Raquel""). daughter(""Shirley"", ""Raquel""). father(""Raquel"", ""Thomas""). mother(""Raquel"", ""Shirley""). sister(""Casey"", ""Raquel""). brother(""Raquel"", ""Casey"").",,sister-son,['nephew']
95,[Theresa] could n't wait to pick up her husband [Henry] at the airport. [Henry] asked his sister [Shirley] if she would pick up his son [Eddie] after school. [Theresa] loves cooking for her son. His name is [Eddie].,"('Shirley', 'Eddie')",nephew,"husband(""Theresa"", ""Henry""). wife(""Henry"", ""Theresa""). sister(""Henry"", ""Shirley""). brother(""Shirley"", ""Henry""). son(""Henry"", ""Eddie""). father(""Eddie"", ""Henry""). son(""Theresa"", ""Eddie""). mother(""Eddie"", ""Theresa"").",,brother-son,[]
106,[Constance] needed to go to the store. [Constance] asked her sister [Margaret] for a ride. [Margaret] is looking for a good gift for her sister [Raquel]. [Casey] enjoys the company of his sibling [Margaret]. [Raquel] and her sister [Constance] played golf together. [Raquel] won easily.,"('Casey', 'Raquel')",sister,"sister(""Constance"", ""Margaret""). sister(""Margaret"", ""Constance""). sister(""Margaret"", ""Raquel""). sister(""Raquel"", ""Margaret""). sibling(""Casey"", ""Margaret""). sibling(""Margaret"", ""Casey""). sister(""Raquel"", ""Constance""). sister(""Constance"", ""Raquel"").",,sister-sister,[]
129,"[Raquel] and her brother [Casey] were having a wonderful time at Disneyland. [Raquel]'s father, [Vernon], and her husband [Drew] went to the store to pick up some more beer. [Vernon] is taking his son [Casey] on a camping trip for the weekend.","('Drew', 'Vernon')",father-in-law,"brother(""Raquel"", ""Casey""). father(""Raquel"", ""Vernon""). daughter(""Vernon"", ""Raquel""). husband(""Raquel"", ""Drew""). wife(""Drew"", ""Raquel""). son(""Vernon"", ""Casey"").",,wife-father,[]
135,"[Serena] and her husband [Allen] went to New York for the holidays, and had a great time there. [Barbara] and her brother [Allen] went to the diner to eat yummy food together. [Robin] decided to take her son [Allen] out to have Mexican food for Dinner. [Allen] enjoyed spending time with his mother. [Robin] is ready to dye Easter eggs with [Barbara]!","('Serena', 'Robin')",mother-in-law,"husband(""Serena"", ""Allen""). wife(""Allen"", ""Serena""). brother(""Barbara"", ""Allen""). sister(""Allen"", ""Barbara""). son(""Robin"", ""Allen""). mother(""Allen"", ""Robin"").",,husband-mother,[]
139,[Edward] played chess with his son [Benny]. [Benny]'s wife [Dorothy] watched in amazement. [Edward] has a great father relationship with the beautiful [Patty]. [Patty] loves to watch stand up comedy with her brother. His name is [Benny].,"('Dorothy', 'Edward')",father-in-law,"son(""Edward"", ""Benny""). father(""Benny"", ""Edward""). wife(""Benny"", ""Dorothy""). husband(""Dorothy"", ""Benny""). daughter(""Edward"", ""Patty""). father(""Patty"", ""Edward""). brother(""Patty"", ""Benny""). sister(""Benny"", ""Patty"").",,husband-father,[]
151,"[Vernon] took his niece [Sarah] to the park to walk her dog. [Edward] read his daughter [Sarah] a bedtime story. Soon she was fast asleep. [Andrew] asked his father, [Vernon] to help him build a birdhouse. [Edward] and his brother [Vernon] were playing tag in the park.","('Edward', 'Andrew')",nephew,"niece(""Vernon"", ""Sarah""), uncle(""Sarah"", ""Vernon""). daughter(""Edward"", ""Sarah""), father(""Sarah"", ""Edward""). father(""Andrew"", ""Vernon""), son(""Vernon"", ""Andrew""). brother(""Edward"", ""Vernon""), brother(""Vernon"", ""Edward"").",,brother-son,[]
153,"[Barbara] and her husband [Carl] had their 20th wedding anniversary Saturday. [Arthur] invited his sister [Barbara] out to watch the meteor shower. [Robin] gave her son, [Arthur], blankets for them to sit on and snacks to eat while they watched the meteors. [Barbara] adores her daughter [Robin]. [Robin] loves her very much, too.","('Robin', 'Carl')",son-in-law,"husband(""Barbara"", ""Carl""). wife(""Carl"", ""Barbara""). sister(""Arthur"", ""Barbara""). brother(""Barbara"", ""Arthur""). mother(""Arthur"", ""Robin""). son(""Robin"", ""Arthur""). mother(""Barbara"", ""Robin""). daughter(""Robin"", ""Barbara"").",,daughter-husband,[]
178,[Vernon] and his sister [Kristen] are going for a walk. [Theresa] could n't wait for the surprise birthday party that she was throwing for her brother [Vernon] next weekend. [Theresa] is looking for a good gift for her sister [Kristen]. [Kristen] loves cooking for her son. His name is [Benny].,"('Vernon', 'Benny')",nephew,"sister(""Vernon"", ""Kristen""). brother(""Kristen"", ""Vernon""). brother(""Theresa"", ""Vernon""). sister(""Vernon"", ""Theresa""). sister(""Theresa"", ""Kristen""). brother(""Kristen"", ""Theresa""). son(""Kristen"", ""Benny""). mother(""Benny"", ""Kristen"").",,sister-son,['nephew']
180,[Theresa] cooked her son [Darnell] his favorite meal yesterday because it was his birthday. [Theresa] picked up her daughter [Michelle] from school early. [John] takes his wife [Michelle] out for their anniversary. [Darnell] and her sister [Michelle] decided to take a trip to Mexico together.,"('John', 'Theresa')",mother-in-law,"mother(""Darnell"", ""Theresa""). son(""Theresa"", ""Darnell""). daughter(""Theresa"", ""Michelle""). mother(""Michelle"", ""Theresa""). wife(""John"", ""Michelle""). husband(""Michelle"", ""John""). sister(""Darnell"", ""Michelle""). brother(""Michelle"", ""Darnell"").",,wife-mother,[]
190,"[Marlene] was talking about food with her sister [Lisa]. [Lisa] loves spending time with her father. His name is [Eric]. [Eric] gave away his daughter, [Marlene], to her groom, [Michael].","('Michael', 'Eric')",father-in-law,"sister(""Marlene"", ""Lisa""). father(""Lisa"", ""Eric""). daughter(""Eric"", ""Lisa""). daughter(""Eric"", ""Marlene""). husband(""Marlene"", ""Michael""). wife(""Michael"", ""Marlene"").",,wife-father,[]
192,[Eric] and his daughter [Barbara] went to Disney World together. [Robin] and her daughter [Barbara] went to church. They were both very religious. [Eric] has been with [Robin] for 10 years. [Robin] has been married for two years. [Eric] and his brother [Henry] went to the arcade. They had a wonderful time.,"('Henry', 'Barbara')",niece,"daughter(""Eric"", ""Barbara""). father(""Barbara"", ""Eric""). mother(""Barbara"", ""Robin""). daughter(""Robin"", ""Barbara""). partner(""Eric"", ""Robin""). partner(""Robin"", ""Eric""). brother(""Eric"", ""Henry""). brother(""Henry"", ""Eric"").",,brother-daughter,[]
198,"[Kristen]'s daughter, [Patty], asked her mom to read her a story. [Robin] invited her sisters, [Kristen] and [Theresa], to a party. [Kristen] needed to go to the store. [Kristen] asked her sister [Theresa] for a ride.","('Theresa', 'Patty')",niece,"daughter(""Kristen"", ""Patty""). mother(""Patty"", ""Kristen""). sister(""Robin"", ""Kristen""). sister(""Kristen"", ""Robin""). sister(""Robin"", ""Theresa""). sister(""Theresa"", ""Robin""). sister(""Kristen"", ""Theresa""). sister(""Theresa"", ""Kristen"").",,sister-daughter,[]
199,"[Kristen] and her husband [Edward] will be celebrating 30 years of marriage this month. [Kristen] and her sister [Shirley] played golf together. [Kristen] won easily. [Ronald] asked his son, [Edward], to help paint his house. [Kristen] returned home from work to find her daughter Jesse asleep on the couch. Jesse's older brother [Ronald] was doing his homework in his room.","('Shirley', 'Ronald')",nephew,"husband(""Kristen"", ""Edward""). wife(""Edward"", ""Kristen""). sister(""Kristen"", ""Shirley""). sister(""Shirley"", ""Kristen""). son(""Ronald"", ""Edward""). father(""Edward"", ""Ronald""). daughter(""Kristen"", ""Jesse""). mother(""Jesse"", ""Kristen""). brother(""Jesse"", ""Ronald""). sister(""Ronald"", ""Jesse"").",,sister-son,['nephew']
201,[Kristen] and her son [Benny] go with [Patty] to the baseball game. [Patty] took a cooking class with her father in law Ted. Ted said she was a natural and recommended that she begin cooking for his son [Jeffery]. [Patty] and her mother [Kristen] went dress shopping on Saturday.,"('Kristen', 'Jeffery')",son-in-law,"son(""Kristen"", ""Benny""). mother(""Benny"", ""Kristen""). father-in-law(""Patty"", ""Ted""). daughter-in-law(""Ted"", ""Patty""). son(""Ted"", ""Jeffery""). father(""Jeffery"", ""Ted""). mother(""Patty"", ""Kristen""). daughter(""Kristen"", ""Patty"").",,daughter-husband,[]
207,"[Theresa] and her daughter [Michelle] went shopping together last Monday and they bought new shoes for [Theresa]'s kids. [Barry]'s mother [Theresa] was present at the thanksgiving service. [Amanda] bought a Valentines day gift for her husband [Barry] and also got him a card. [Barry] wanted to get a good gift for his sister, [Michelle]","('Amanda', 'Theresa')",mother-in-law,"daughter(""Theresa"", ""Michelle""). mother(""Michelle"", ""Theresa""). son(""Theresa"", ""Barry""). mother(""Barry"", ""Theresa""), husband(""Amanda"", ""Barry""). wife(""Barry"", ""Amanda""). sister(""Barry"", ""Michelle""). brother(""Michelle"", ""Barry"").",,husband-mother,[]
214,"[Robin] took her daughter, [Barbara], to lunch. [Karen] is ready to dye Easter eggs with [Robin]! [Robin] and her daughter [Lisa] were on vaction. [Lisa] was talking about food with her sister [Barbara].","('Lisa', 'Karen')",grandmother,"daughter(""Robin"", ""Barbara""). mother(""Barbara"", ""Robin""). daughter(""Robin"", ""Lisa""). mother(""Lisa"", ""Robin""). sister(""Lisa"", ""Barbara""). sister(""Barbara"", ""Lisa"").",,mother-mother,[]
218,"[Karen] loved to care for her newborn child [Edward]. [Theresa]'s mom, [Karen], has recently taken art classes. [Shirley] and her sister [Theresa] were fighting. They never fight long though, and they made up the next day. [Karen] took her daughter [Shirley] to see her very first ballet performance.","('Theresa', 'Edward')",brother,"mother(""Edward"", ""Karen""), child(""Karen"", ""Edward""). mother(""Theresa"", ""Karen""), daughter(""Karen"", ""Theresa""). sister(""Shirley"", ""Theresa""), sister(""Theresa"", ""Shirley""). daughter(""Karen"", ""Shirley""), mother(""Shirley"", ""Karen"").",,mother-son,[]
221,"[Henry] is frustrated teaching his son how to drive. His son is [Darnell]. [Henry] is [Vernon]'s Brother. [Vernon]'s son, [Andrew], was ill and needed to be picked up at school. [Vernon] hurried to his side. [Andrew] asked his uncle [Henry] with some help with his homework. [Henry] stopped what he was doing, and helped.","('Vernon', 'Darnell')",nephew,"son(""Henry"", ""Darnell""). father(""Darnell"", ""Henry""). brother(""Henry"", ""Vernon""). brother(""Vernon"", ""Henry""). son(""Vernon"", ""Andrew""). father(""Andrew"", ""Vernon""). uncle(""Andrew"", ""Henry""). nephew(""Henry"", ""Andrew"").",,brother-son,[]
232,"[Edward] and his son, [Benny], went deer hunting. [Benny]'s wife, [Dorothy], came along just to watch. [Benny] called his brother [Ronald] on Friday because it was his birthday. [Ronald]'s father, [Edward], bought him some ice cream.","('Dorothy', 'Edward')",father-in-law,"son(""Edward"", ""Benny""). father(""Benny"", ""Edward""). wife(""Benny"", ""Dorothy""). husband(""Dorothy"", ""Benny""). brother(""Benny"", ""Ronald""). brother(""Ronald"", ""Benny""). father(""Ronald"", ""Edward"").",,husband-father,[]
242,"[Theresa] went shopping with her son. His name is [Barry]. [Barry] is a very hot guy, but his sister [Michelle] is even more attractive. [Michelle] was making cookies for her husband [John], and a cake for her mother [Theresa].","('John', 'Theresa')",mother-in-law,"son(""Theresa"", ""Barry""). mother(""Barry"", ""Theresa""). sister(""Barry"", ""Michelle""). brother(""Michelle"", ""Barry""). husband(""Michelle"", ""John""). wife(""John"", ""Michelle""). daughter(""Theresa"", ""Michelle"").",,wife-mother,[]
248,"[Theresa] asked her son [Barry] to take her car to get the oil changed and he said he would be there around 2 o'clock. [Barry] has always felt ignored in his big family. His brother [Eddie] always got all the attention of their parents, who recounted his every accomplishment to all the household. [Barry] and [Darnell] are brothers who look nothing alike. [Theresa] took her son [Eddie] to the park for the afternoon.","('Darnell', 'Eddie')",brother,"son(""Theresa"", ""Barry""). mother(""Barry"", ""Theresa""). brother(""Barry"", ""Eddie""). brother(""Eddie"", ""Barry""). sibling(""Barry"", ""Darnell""). sibling(""Darnell"", ""Barry""). son(""Theresa"", ""Eddie""). mother(""Eddie"", ""Theresa"").",,brother-brother,[]
253,"[Barbara] adores her father [Eric]. [Marlene], [Barbara]'s sister, often wishes that [Marlene] would think of her the same way. [Michael] was bored sitting on the couch, as his wife [Marlene] was gone for the weekend. [Marlene] was visiting her father [Eric].","('Michael', 'Eric')",father-in-law,"father(""Barbara"", ""Eric""). daughter(""Eric"", ""Barbara""). sister(""Barbara"", ""Marlene""). brother(""Marlene"", ""Barbara""). wife(""Michael"", ""Marlene""). husband(""Marlene"", ""Michael"").",,wife-father,[]
254,"[Theresa] was so proud of her daughter [Michelle] for getting straight A's this semester. [Eddie] is a man with a wife named [Verdie]. [Eddie] always enjoyed playing with his sister, [Michelle], when they were growing up. [Theresa] is so happy for her son. Her son [Eddie] just joined the Army.","('Verdie', 'Theresa')",mother-in-law,"daughter(""Theresa"", ""Michelle""). mother(""Michelle"", ""Theresa""). husband(""Eddie"", ""Verdie""). wife(""Verdie"", ""Eddie""). sister(""Eddie"", ""Michelle""). brother(""Michelle"", ""Eddie""). son(""Theresa"", ""Eddie"").",,husband-mother,[]
257,"[Robin]'s brother [Vernon] joined the Army. While he was overseas, he left his daughter, [Constance], in [Robin]'s care. [Robin] kept picking on her sister [Kristen]. [Kristen] was so upset, she asked her brother [Vernon] for some help.","('Robin', 'Constance')",niece,"brother(""Robin"", ""Vernon""). sister(""Vernon"", ""Robin""). daughter(""Vernon"", ""Constance""). father(""Constance"", ""Vernon""). caregiver(""Constance"", ""Robin""). sister(""Robin"", ""Kristen""). sister(""Kristen"", ""Robin""). brother(""Kristen"", ""Vernon""). sister(""Vernon"", ""Kristen"").",,brother-daughter,[]
260,"[Dionne] and her mother [Kristen] had a coffee date, and [Dionne]'s sister [Patty] showed up in the middle of it. [Kristen] took her daughter [Patty] to the mall. [Jeffery], [Patty]'s husband, stayed in the car.","('Kristen', 'Jeffery')",son-in-law,"mother(""Dionne"", ""Kristen""). daughter(""Kristen"", ""Dionne""). sister(""Dionne"", ""Patty""). brother(""Patty"", ""Dionne""). daughter(""Kristen"", ""Patty""). mother(""Patty"", ""Kristen""). husband(""Patty"", ""Jeffery""). wife(""Jeffery"", ""Patty"").",,daughter-husband,[]
275,"[Allen] took his mother, [Robin], and his sister, [Barbara], to the store. [Carl] and his wife, [Barbara], were eating dinner. [Robin], [Barbara]'s mother, had prepared them a delicious meal.","('Carl', 'Robin')",mother-in-law,"mother(""Allen"", ""Robin""). son(""Robin"", ""Allen""). sister(""Allen"", ""Barbara""). brother(""Barbara"", ""Allen""). wife(""Carl"", ""Barbara""). husband(""Barbara"", ""Carl""). mother(""Barbara"", ""Robin"").",,wife-mother,[]
280,"[Eric] met up with his sister [Kristen] and her daughter [Dionne] at the mall to go shopping together. [Kristen] 'son, [Benny] wanted to go to the store. He asked his sister, [Dionne] if she wanted to go too.","('Eric', 'Dionne')",niece,"sister(""Eric"", ""Kristen""). brother(""Kristen"", ""Eric""). daughter(""Kristen"", ""Dionne""). mother(""Dionne"", ""Kristen""). son(""Kristen"", ""Benny""). mother(""Benny"", ""Kristen""). sister(""Benny"", ""Dionne""). brother(""Dionne"", ""Benny"").",,sister-daughter,[]
288,[Vernon] is taking his daughter [Stacy] out for lunch at her favorite restaurant. [Kristen]'s son [Benny] and brother [Vernon] came to her birthday party last weekend. [Stacy] has an aunt named [Kristen],"('Vernon', 'Benny')",nephew,"daughter(""Vernon"", ""Stacy""). father(""Stacy"", ""Vernon""). son(""Kristen"", ""Benny""). mother(""Benny"", ""Kristen""). brother(""Kristen"", ""Vernon""). sister(""Vernon"", ""Kristen""). aunt(""Stacy"", ""Kristen""). niece(""Kristen"", ""Stacy"").",,sister-son,['nephew']
293,[Robin] and her sister [Theresa] went to see [Robin]'s daughter [Marlene] and took her a bottle of wine as a gift. [Marlene] got accepted into her dream college. Her father [Eric] could not be any prouder. [Theresa] was more than happy to help her sister by watching her child [Marlene].,"('Eric', 'Theresa')",sister,"sister(""Robin"", ""Theresa""). sister(""Theresa"", ""Robin""). daughter(""Robin"", ""Marlene""). mother(""Marlene"", ""Robin""). father(""Marlene"", ""Eric""). daughter(""Eric"", ""Marlene"")",,daughter-aunt,
295,"[Henry] has a great father relationship with the beautiful [Michelle]. [Barry]'s sister, [Michelle], bought movie tickets at a discount rate. [Henry] is proud of his son. His name is [Barry]. [Amanda] and her husband [Barry] are planning to go to Hawaii. They're hoping to have a wonderful time there.","('Amanda', 'Henry')",father-in-law,"father(""Michelle"", ""Henry""). daughter(""Henry"", ""Michelle""). sister(""Barry"", ""Michelle""). brother(""Michelle"", ""Barry""). son(""Henry"", ""Barry""). father(""Barry"", ""Henry""). husband(""Amanda"", ""Barry""). wife(""Barry"", ""Amanda"").",,husband-father,[]
302,[Andrew] and his father [Vernon] went to the golf course in town on Saturday and had a great time. [Vernon] is one of [Theresa]'s brothers. They have lots of fun together. [Robin] asks her sister [Theresa] for help looking for a gift. [Robin] wants to buy something for her brother [Vernon]'s birthday.,"('Theresa', 'Andrew')",nephew,"father(""Andrew"", ""Vernon""). son(""Vernon"", ""Andrew""). brother(""Theresa"", ""Vernon""). sister(""Vernon"", ""Theresa""). sister(""Robin"", ""Theresa""). brother(""Theresa"", ""Robin""). brother(""Robin"", ""Vernon""). sister(""Vernon"", ""Robin"").",,brother-son,[]
